,Name,wikiQLabel,wikiQ,instance
0,Friedrich Miescher-Weg,Friedrich Miescher,http://www.wikidata.org/entity/Q116072,Mensch
0,Achilles Bischoff-Strasse,Achilles Bischoff,http://www.wikidata.org/entity/Q15455792,Mensch
0,Anne Frank-Platz,Anne Frank,http://www.wikidata.org/entity/Q4583,Mensch
0,Peter Merian-Brücke,Peter Merian,http://www.wikidata.org/entity/Q2077023,Mensch
0,Wibrandis Rosenblatt-Weg,Wibrandis Rosenblatt,http://www.wikidata.org/entity/Q120460,Mensch
0,Friedrichstrasse,Friedrich,http://www.wikidata.org/entity/Q63086,Mensch
0,Peter Merian-Weg,Peter Merian,http://www.wikidata.org/entity/Q2077023,Mensch
0,Gottfried Keller-Strasse,Gottfried Keller,http://www.wikidata.org/entity/Q122370,Mensch
0,Christoph Merian-Platz,Christoph Merian,http://www.wikidata.org/entity/Q122485,Mensch
0,Meret Oppenheim-Strasse,Meret Oppenheim,http://www.wikidata.org/entity/Q61594,Mensch
0,Fritz Hauser-Promenade,Fritz Hauser,http://www.wikidata.org/entity/Q681957,Mensch
0,Jacob Burckhardt-Strasse,Jacob Burckhardt,http://www.wikidata.org/entity/Q59945,Mensch
0,Julia Gauss-Strasse,Julia Gauss,http://www.wikidata.org/entity/Q1711843,Mensch
0,Oscar Frey-Strasse,Oscar Frey,http://www.wikidata.org/entity/Q1383856,Mensch
0,Lukas Legrand-Strasse,Lukas Legrand,http://www.wikidata.org/entity/Q21544966,Mensch
0,Peter Ochs-Strasse,Peter Ochs,http://www.wikidata.org/entity/Q676747,Mensch
0,Rut Keiser-Strasse,Rut Keiser,http://www.wikidata.org/entity/Q2177406,Mensch
0,Dora Schmidt-Strasse,Dora Schmidt,http://www.wikidata.org/entity/Q94521874,Mensch
0,Gretel Bolliger-Promenade,Gretel Bolliger,http://www.wikidata.org/entity/Q40127518,Mensch
0,Friedrich Miescher-Strasse,Friedrich Miescher,http://www.wikidata.org/entity/Q116072,Mensch
0,Iris von Roten-Platz,Iris von Roten,http://www.wikidata.org/entity/Q122049,Mensch
0,Rudolfstrasse,Rudolf,http://www.wikidata.org/entity/Q519491,Mensch
0,Hermann Kinkelin-Strasse,Hermann Kinkelin,http://www.wikidata.org/entity/Q198530,Mensch
0,Gustav Wenk-Strasse,Gustav Wenk,http://www.wikidata.org/entity/Q1556519,Mensch
0,Niklaus von Flüe-Strasse,Niklaus von Flüe,http://www.wikidata.org/entity/Q115550,Mensch
0,Maja Sacher-Platz,Maja Sacher,http://www.wikidata.org/entity/Q1885994,Mensch
0,Hermann Suter-Strasse,Hermann Suter,http://www.wikidata.org/entity/Q671472,Mensch
0,Peter Merian-Strasse,Peter Merian,http://www.wikidata.org/entity/Q2077023,Mensch
0,Gertrud Spiess-Strasse,Gertrud Spiess,http://www.wikidata.org/entity/Q1515691,Mensch
0,Karl Barth-Platz,Karl Barth,http://www.wikidata.org/entity/Q107473,Mensch
0,Theodor Herzl-Strasse,Theodor Herzl,http://www.wikidata.org/entity/Q44003,Mensch
0,Wilhelm Klein-Strasse,Wilhelm Klein,http://www.wikidata.org/entity/Q94729,Mensch
0,Hermann Albrecht-Strasse,Hermann Albrecht,http://www.wikidata.org/entity/Q96675,Mensch
0,Irène Zurkinden-Platz,Irène Zurkinden,http://www.wikidata.org/entity/Q1673322,Mensch
0,Hermann Hesse-Platz,Hermann Hesse,http://www.wikidata.org/entity/Q25973,Mensch
0,Rudolf Steiner-Weg,Rudolf Steiner,http://www.wikidata.org/entity/Q78484,Mensch
0,Christoph Merian-Park,Christoph Merian,http://www.wikidata.org/entity/Q122485,Mensch
0,Emilie Louise Frey-Strasse,Emilie Louise Frey,http://www.wikidata.org/entity/Q96364286,Mensch
0,Emanuel Büchel-Strasse,Emanuel Büchel,http://www.wikidata.org/entity/Q117083,Mensch
0,Albert Schweitzer-Strasse,Albert Schweitzer,http://www.wikidata.org/entity/Q49325,Mensch
0,Hans Huber-Strasse,Hans Huber,http://www.wikidata.org/entity/Q673938,Mensch
0,Meret Oppenheim-Platz,Meret Oppenheim,http://www.wikidata.org/entity/Q61594,Mensch
0,Kunigunde-Platz,Kunigunde,http://www.wikidata.org/entity/Q458385,Mensch
0,Karl Jaspers-Allee,Karl Jaspers,http://www.wikidata.org/entity/Q76509,Mensch
0,Fritz Hauser-Strasse,Fritz Hauser,http://www.wikidata.org/entity/Q681957,Mensch
0,Helli Stehle-Weg,Helli Stehle,http://www.wikidata.org/entity/Q22687790,Mensch
0,Arnold Böcklin-Strasse,Arnold Böcklin,http://www.wikidata.org/entity/Q123071,Mensch
0,Max Kämpf-Platz,Max Kämpf,http://www.wikidata.org/entity/Q122519,Mensch
0,Wilhelm His-Strasse,Wilhelm His,http://www.wikidata.org/entity/Q69526,Mensch
0,Paracelsusstrasse,Paracelsus,http://www.wikidata.org/entity/Q83428,Mensch
0,Mathilde Paravicini-Strasse,Mathilde Paravicini,http://www.wikidata.org/entity/Q1908713,Mensch
0,Eugen Wullschleger-Strasse,Eugen Wullschleger,http://www.wikidata.org/entity/Q1372980,Mensch
0,Andreas Heusler-Strasse,Andreas Heusler,http://www.wikidata.org/entity/Q124610,Mensch
0,Gotthelfplatz,Jeremias Gotthelf,http://www.wikidata.org/entity/Q122358,
0,Redingbrücke,Ital Reding der Jüngere,http://www.wikidata.org/entity/Q122737,
0,Schäublinstrasse,Christoph Schäublin,http://www.wikidata.org/entity/Q1085851,
0,Wettsteinstrasse,Richard Wettstein,http://www.wikidata.org/entity/Q78599,
0,Hochbergersteg,Juliusz Hochberger,http://www.wikidata.org/entity/Q3608670,
0,Rheinschanze,Eduard Rhein,http://www.wikidata.org/entity/Q87475,
0,Bachofenstrasse,Johann Jakob Bachofen,http://www.wikidata.org/entity/Q123861,
0,Rütimeyerstrasse,Ludwig Rütimeyer,http://www.wikidata.org/entity/Q116261,
0,Voltaplatz,Alessandro Volta,http://www.wikidata.org/entity/Q680,
0,Falknerstrasse,Brian Falkner,http://www.wikidata.org/entity/Q912148,
0,Erasmusplatz,Sonya Erasmus,http://www.wikidata.org/entity/Q1384173,
0,Voltastrasse,Alessandro Volta,http://www.wikidata.org/entity/Q680,
0,Wattstrasse,Mitchell Watt,http://www.wikidata.org/entity/Q1747,
0,Wallstrasse,Larry Wall,http://www.wikidata.org/entity/Q92597,
0,Zwingerstrasse,Theodor Zwinger der Ältere,http://www.wikidata.org/entity/Q116094,
0,Brantgasse,Sebastian Brant,http://www.wikidata.org/entity/Q60351,
0,Eulerstrasse,Leonhard Euler,http://www.wikidata.org/entity/Q7604,
0,Socinstrasse,Albert Socin,http://www.wikidata.org/entity/Q89647,
0,Fatiostrasse,Victor Fatio,http://www.wikidata.org/entity/Q114588,
0,Schillerstrasse,Q97731792,http://www.wikidata.org/entity/Q97731792,
0,Hebelstrasse,Johann Peter Hebel,http://www.wikidata.org/entity/Q62512,
0,Schönbeinstrasse,Christian Friedrich Schönbein,http://www.wikidata.org/entity/Q61319,
0,Guisan-Promenade,Louis Guisan,http://www.wikidata.org/entity/Q120625,
0,Wettsteinplatz,Richard Wettstein,http://www.wikidata.org/entity/Q78599,
0,Brennerstrasse,Helmut Brenner,http://www.wikidata.org/entity/Q84852,
0,Edisonstrasse,Thomas Alva Edison,http://www.wikidata.org/entity/Q8743,
0,Bungestrasse,Bettina Bunge,http://www.wikidata.org/entity/Q63084,
0,Picassoplatz,Pablo Picasso,http://www.wikidata.org/entity/Q5593,
0,Amerbachstrasse,Elias Nikolaus Ammerbach,http://www.wikidata.org/entity/Q68171,
0,Pfeffelstrasse,Gottlieb Konrad Pfeffel,http://www.wikidata.org/entity/Q77742,
0,Holbeinplatz,Hans Holbein der Jüngere,http://www.wikidata.org/entity/Q48319,
0,Wettsteinbrücke,Richard Wettstein,http://www.wikidata.org/entity/Q78599,
0,Frobenstrasse,Johann Froben,http://www.wikidata.org/entity/Q116611,
0,Dufourstrasse,Marc Dufour,http://www.wikidata.org/entity/Q121859,
0,Jungstrasse,Carl Gustav Jung,http://www.wikidata.org/entity/Q41532,
0,Rütimeyerplatz,Ludwig Rütimeyer,http://www.wikidata.org/entity/Q116261,
0,Heinrichsgasse,Leo Heinrichs,http://www.wikidata.org/entity/Q104797,
0,Ryffstrasse,Andreas Ryff,http://www.wikidata.org/entity/Q370777,
0,Uhlandstrasse,Ludwig Uhland,http://www.wikidata.org/entity/Q61058,
0,Speiserstrasse,Rosi Speiser,http://www.wikidata.org/entity/Q103613,
0,Holbeinstrasse,Hans Holbein der Jüngere,http://www.wikidata.org/entity/Q48319,
0,Redingstrasse,Ital Reding der Jüngere,http://www.wikidata.org/entity/Q122737,
0,Wettsteinallee,Richard Wettstein,http://www.wikidata.org/entity/Q78599,
0,Gotthelfstrasse,Jeremias Gotthelf,http://www.wikidata.org/entity/Q122358,
0,Pestalozzistrasse,Johann Heinrich Pestalozzi,http://www.wikidata.org/entity/Q105428,
