,STR_ESID,Name,wikiQLabel,wikiQ,instance
0,10251567,Weinlagerstrasse,Weinlager,http://www.wikidata.org/entity/Q102011549,Innerortsstraße
1,10256874,Katja Wulff-Anlage,Katja Wulff-Anlage,,
2,10256872,Wibrandis Rosenblatt-Weg,Wibrandis Rosenblatt,http://www.wikidata.org/entity/Q120460,Mensch
3,10256875,Gretel Bolliger-Promenade,Gretel Bolliger,http://www.wikidata.org/entity/Q40127518,Mensch
4,10255061,Backstubenweg,Backstuben,,
5,10255064,Lichtnelkenweg,Lichtnelken,,
6,10255065,Kasernenhof,Kasernenhof,,
7,10255060,Helli Stehle-Weg,Helli Stehle,http://www.wikidata.org/entity/Q22687790,Mensch
8,10255063,Nachtkerzenweg,Nachtkerzen,http://www.wikidata.org/entity/Q157658,Taxon
9,10255066,Beim Wettsteinhäuschen,Beim Wettsteinhäuschen,,
10,10255062,Kabelstrasse,Kabel,http://www.wikidata.org/entity/Q657153,Grotesk
11,10179492,Wasserstelzenweg,Wasserstelzen,,
12,10155023,Lysbüchelstrasse,Lysbüchel,,
13,10087623,Grenzacherstrasse,Grenzacher,,
14,10088566,Farnsburgerstrasse,Farnsburger,,
15,10063544,Meltingerstrasse,Meltinger,,
16,10026590,Obere Weid,Obere Weid,,
17,10026586,Lachenweg,Lachen,http://www.wikidata.org/entity/Q170579,Mimik
18,10063829,Sandgrubenstrasse,Sandgruben,http://www.wikidata.org/entity/Q21866287,Berg
19,10063832,Schalerstrasse,Schaler,http://www.wikidata.org/entity/Q28540840,Wikimedia-Begriffsklärungsseite
20,10064904,Claramattweg,Claramatt,,
21,10045929,Auweg,Au,http://www.wikidata.org/entity/Q106901,Wikimedia-Begriffsklärungsseite
22,10063530,Im Margarethenletten,Im Margarethenletten,,
23,10181184,Edisonstrasse,Edison,http://www.wikidata.org/entity/Q219148,Wikimedia-Begriffsklärungsseite
24,10181193,Kandererstrasse,Kanderer,,
25,10025137,Brunnengasse,Brunnen,http://www.wikidata.org/entity/Q41273614,Brunnen
26,10025953,Sennheimerstrasse,Sennheimer,,
27,10063859,Bäumlihofstrasse,Bäumlihof,http://www.wikidata.org/entity/Q1019311,Bauernhaus
28,10181513,Wettsteinallee,Wettstein,http://www.wikidata.org/entity/Q809916,Basler Quartiere
29,10120299,Türkheimerstrasse,Türkheimer,http://www.wikidata.org/entity/Q106456293,Familienname
30,10020574,Ritterweg,Ritter,http://www.wikidata.org/entity/Q102083,Beruf
31,10063543,Mattenstrasse,Matten,http://www.wikidata.org/entity/Q1909325,Wikimedia-Begriffsklärungsseite
32,10188146,Aeneas Silvius-Strasse,Aeneas Silvius,http://www.wikidata.org/entity/Q380914,Wikimedia-Begriffsklärungsseite
33,10025110,Theodorskirchplatz,Theodorskirch,,
34,10179459,Steinenvorstadt,Steinenvorstadt,,
35,10025133,Weissensteinstrasse,Weissenstein,http://www.wikidata.org/entity/Q670257,Berg
36,10026266,Brühlweg,Brühl,http://www.wikidata.org/entity/Q7036,Stadt
37,10026510,Rappoltshof,Rappoltshof,,
38,10128630,Güterstrasse,Güter,http://www.wikidata.org/entity/Q104625778,Innerortsstraße
39,10129373,Kienbergstrasse,Kienberg,http://www.wikidata.org/entity/Q188164,Gemeinde in Deutschland
40,10025633,Dittingerstrasse,Dittinger,,
41,10025941,Pfluggässlein,Pflug,http://www.wikidata.org/entity/Q2084306,Ortsteil
42,10025061,Knöringerstrasse,Knöringer,,
43,10110178,Bristenweg,Bristen,http://www.wikidata.org/entity/Q43299,Berg
44,10086289,Bischoffweg,Bischoff,http://www.wikidata.org/entity/Q866135,Wikimedia-Begriffsklärungsseite
45,10063828,Rotbergerstrasse,Rotberger,http://www.wikidata.org/entity/Q877431,Rebsorte
46,10186616,General Guisan-Strasse,General Guisan,,
