,Id Strasse,Strassenname,Erklärung erste Zeile,Erklärung zweite Zeile,Geo Shape,Geo Point,Erstmals erwähnt,Amtlich benannt,Indextext,Kurztext
153,1941,Friedrich Miescher-Weg,"Friedrich Miescher (1844–1895), Mediziner,","Zellkernforscher, Entdecker der Nukleinsäuren","{""coordinates"": [[7.561170150285444, 47.57157629617899], [7.561163168260067, 47.57157415401656], [7.56115623922925, 47.571571939848695], [7.561149349923909, 47.57156966268292], [7.561142513613173, 47.571567313511714], [7.561135717027956, 47.57156490134263], [7.561128986747694, 47.57156242614787], [7.561122309482696, 47.571559887941355], [7.561115671922658, 47.57155727774331], [7.561109100688231, 47.57155461351324], [7.56110258244852, 47.57155187727777], [7.561096130513834, 47.57154907801663], [7.561089731615093, 47.571546224737475], [7.5610833857317, 47.571543308446536], [7.561077119422481, 47.57154032012239], [7.56107090616984, 47.571537286773854], [7.561064759201687, 47.57153418140601], [7.561058678559233, 47.571531022006276], [7.561052664221886, 47.57152779958087], [7.561046729499954, 47.57152452310964], [7.561040847814034, 47.571521192620416], [7.56103504574353, 47.571517808085346], [7.561029309978169, 47.571514360524745], [7.561023653828235, 47.571510858918295], [7.561018077293724, 47.57150730326604], [7.561012567084954, 47.57150369358191], [7.561007136491616, 47.571500029851954], [7.561001785534286, 47.57149632106994], [7.560996514171809, 47.57149254924845], [7.560991309176233, 47.57148874138247], [7.560986197065197, 47.571484870463166], [7.560981177879856, 47.57148095447783], [7.560976225040825, 47.57147699345437], [7.560970219662923, 47.57147187334871], [7.560964147920038, 47.571466789286944], [7.5609580230813, 47.57146173226156], [7.560951845167275, 47.57145671126618], [7.56094560086772, 47.57145171732098], [7.56093929022378, 47.57144676841337], [7.560932939773681, 47.571441846528174], [7.560926522938067, 47.571436951693116], [7.560920053047757, 47.571432101881726], [7.560913516771942, 47.57142727912051], [7.56090692744143, 47.57142250138289], [7.56090029830477, 47.57141775066758], [7.560893602803184, 47.57141303599612], [7.560886840936667, 47.57140835736849], [7.560880039305131, 47.571403723750485], [7.560873184577773, 47.57139911716867], [7.560866276775169, 47.57139454661677], [7.560859302628187, 47.57139002110228], [7.560852288675073, 47.57138552261007], [7.560845221667251, 47.57138106914138], [7.560838101584164, 47.57137665170255], [7.560830928425819, 47.57137227029348], [7.560823702212759, 47.5713679339079], [7.560816422924439, 47.57136363355215], [7.560809103850502, 47.57135936921229], [7.560801731701297, 47.57135514090221], [7.560794306497361, 47.571350957615586], [7.560786841507796, 47.57134681034477], [7.560779323463494, 47.5713427080974], [7.560771752343898, 47.571338641879834], [7.560764141459209, 47.57133462067169], [7.560756477499206, 47.57133063549332], [7.560142465821049, 47.57098481246952], [7.560137025729428, 47.57098276757087], [7.560131532622992, 47.57098078568293], [7.560125986501733, 47.57097886680562], [7.560120387386063, 47.57097701993261], [7.560114748565533, 47.57097524505017], [7.560109056730129, 47.570973533178325], [7.56010331190026, 47.57097189331079], [7.560097540655043, 47.57097032541992], [7.560091716394897, 47.57096882053967], [7.560085865739783, 47.57096739662973], [7.560079975359266, 47.57096603571657], [7.560074045273756, 47.570964746793905], [7.560068075483223, 47.57096352986163], [7.560062092587192, 47.57096239388581], [7.560056069965682, 47.57096132090679], [7.560050020949062, 47.57096032889806], [7.560043945516894, 47.57095940886586], [7.560037843669152, 47.57095856081032], [7.560031715405813, 47.57095778473134], [7.560025587305974, 47.57095708060138], [7.56001941952134, 47.57095645745546], [7.560013251900155, 47.570955906258476], [7.560007071173248, 47.570955436018], [7.56000086403062, 47.57095503775401], [7.559994657051357, 47.57095471143906], [7.559988450235442, 47.570954457072986], [7.559982230313699, 47.57095428366338], [7.559975997286091, 47.57095419121016], [7.559969777690904, 47.57095416169845], [7.55996354501021, 47.57095422213682], [7.559957325761888, 47.57095434551669], [7.559951106697148, 47.57095454983914], [7.559945418011051, 47.57095422298303], [7.559939755618531, 47.57095377018779], [7.559934119519636, 47.57095319145337], [7.559928509714405, 47.57095248677985], [7.559922952781989, 47.57095165613956], [7.559917422143306, 47.57095069956017], [7.559911944397912, 47.57094962600775], [7.559906532794614, 47.57094841748109], [7.559901174084668, 47.57094709198137], [7.559895881557663, 47.57094564949483], [7.559890668503188, 47.57094409000766], [7.559885534900872, 47.570942404526214], [7.559880480791544, 47.57094061103779], [7.559875532754318, 47.57093870951487], [7.559870664189724, 47.570936690991324], [7.559865901697276, 47.57093456443323], [7.559861258586936, 47.570932338820526], [7.559856708238828, 47.57092999619348], [7.559852290582797, 47.57092756349167], [7.559847992308902, 47.57092503173528], [7.559843813417148, 47.57092240092429], [7.559839767217476, 47.570919680038564], [7.559835866999449, 47.570916869064405], [7.559832099473489, 47.57091396801553], [7.559828477949543, 47.5709109858719], [7.559825002427597, 47.570907922633445], [7.559821686217562, 47.57090478728009], [7.559818516029892, 47.57090157982568], [7.559815518423273, 47.570898291248874], [7.559812680169282, 47.57089494854454], [7.559810001247521, 47.57089154271904], [7.559807494947508, 47.57088807375854], [7.559802689108845, 47.57088440932316], [7.559797777117532, 47.57088081694722], [7.559792758953196, 47.570877287636996], [7.559787621367051, 47.570873839393585], [7.559782377648625, 47.57087047220317], [7.559777027757184, 47.57086716807844], [7.559771571753835, 47.570863954000416], [7.559766009597827, 47.57086081198165], [7.559760367888608, 47.57085775098829], [7.559754620067451, 47.570854780041564], [7.55974877940351, 47.57085189013396], [7.559742845896787, 47.570849081265514], [7.559736832857157, 47.570846362416056], [7.559730726974712, 47.5708437246057], [7.559724541579694, 47.570841185808014], [7.559718276631344, 47.57083872803562], [7.559711945459914, 47.57083636926201], [7.559705534755481, 47.57083410050741], [7.559699044518012, 47.57083192177169], [7.559692501346918, 47.570829842021006], [7.559685891932271, 47.57082785227546], [7.559679216294396, 47.57082596152867], [7.559672474433279, 47.570824169780636], [7.559665692907571, 47.570822468010114], [7.559658845178911, 47.570820874232076], [7.559651957785596, 47.57081937043154], [7.559645030768302, 47.5708179745958], [7.559638050817117, 47.570816677745036], [7.559631031221526, 47.57081547986545], [7.559623972001845, 47.57081438995069], [7.559616886427206, 47.570813398993266], [7.559609774497574, 47.570812506993256]], ""type"": ""LineString""}","47.57115977292299,7.560402160714845",,2020,MIE,Friedrich Miescher-Weg
164,36,Achilles Bischoff-Strasse,"Achilles Bischoff (1795–1867), erster baselstädtischer Nationalrat",,"{""coordinates"": [[7.59352881105616, 47.539972684637355], [7.593594294400639, 47.540074740008535], [7.594114234798236, 47.54088526885311], [7.594172475349782, 47.540976037338766], [7.594255775835857, 47.540951588908904], [7.59463015598257, 47.540841714761534], [7.594812332402055, 47.54078708524501], [7.59496561878715, 47.54074111026107]], ""type"": ""LineString""}","47.540631989866604,7.594145011664927",,1966,BIS,Achilles Bischoff-Str.
173,1939,Anne Frank-Platz,"Anne Frank (1929–1945), ihr Tagebuch als Zeugnis des Holocaust erinnert an die Verfolgung und Ermordung","der Jüdinnen und Juden im Nationalsozialismus, sie stirbt 15-jährig im Konzentrationslager Bergen-Belsen","{""coordinates"": [[7.600824973699854, 47.57022843962372], [7.600849223537596, 47.57048093975822], [7.601601343283464, 47.57151721362658], [7.601676032948358, 47.57150458993671], [7.601989826531809, 47.570278975945506], [7.600941761368462, 47.57021977798019], [7.600824973699854, 47.57022843962372]], ""type"": ""LineString""}","47.570717480288025,7.601451427451075",,2020,FRA,Anne Frank-Platz
176,1840,Peter Merian-Brücke,"Peter Merian (1795–1883), Geologe und Politiker",,"{""coordinates"": [[7.593365451876489, 47.546316798256605], [7.59270645089286, 47.54554891111642], [7.592620920835758, 47.54544318549029], [7.5925757964454, 47.54538742078138]], ""type"": ""LineString""}","47.54585370885646,7.5929687049604855",,2004,MER,Peter Merian-Brücke
181,210,Gotthelfplatz,"Jeremias Gotthelf (1797–1854),",Schweizer Schriftsteller,"{""coordinates"": [[7.567540261109023, 47.55432310767493], [7.56874014614279, 47.55438247454537], [7.568814797037851, 47.553678586266116], [7.568823394615269, 47.553597570058265], [7.568253323824939, 47.553569811564756], [7.568077937973249, 47.55356126436797], [7.567982538716772, 47.553556612483014], [7.567887126191809, 47.55355196053414], [7.5677029977563, 47.553542990754984], [7.567685372951678, 47.55362750643556], [7.567540261109023, 47.55432310767493]], ""type"": ""LineString""}","47.55396945134158,7.568199319121019",,1898,GOT,Gotthelfplatz
188,1965,Wibrandis Rosenblatt-Weg,"Wibrandis Rosenblatt (1504–1564), Pionierin und Netzwerkerin des Basler Protestantismus,","nacheinander Ehefrau dreier oberrheinischer Reformatoren, darunter Johannes Oekolampad","{""coordinates"": [[7.607141643037649, 47.5390894544216], [7.607538359107988, 47.53880621363205], [7.608269914967299, 47.53813979801448], [7.608622975404561, 47.53836126799445], [7.609517899077426, 47.53771598398357]], ""type"": ""LineString""}","47.53835939058283,7.608317138816809",,2022,ROS,Wibrandis Rosenblatt-Weg
193,180,Friedrichstrasse,"Leonhard Friedrich (1821–1887),",Basler Architekt,"{""coordinates"": [[7.574185207487395, 47.55594714725148], [7.574229558048424, 47.55604237531043], [7.574299263594479, 47.55619205789346], [7.574928383214743, 47.55681952760033], [7.575080034061459, 47.55687826821847], [7.575300774871738, 47.556963764991956]], ""type"": ""LineString""}","47.556529056686415,7.5746777400538665",,1869,FRI,Friedrichstr.
212,307,Kaufhausgasse,"Kaufhaus, 1847–1873 bestehendes",Zoll- und Verkaufsgebäude,"{""coordinates"": [[7.591028198682427, 47.55508180931817], [7.590955238520893, 47.55502748357943], [7.59054205797027, 47.55471987933376], [7.590491239542634, 47.554682054930495]], ""type"": ""LineString""}","47.55488192720344,7.590759722775947",1846,1871,KAU,Kaufhausgasse
214,508,Redingbrücke,"Benennung vermutlich nach Aloys Reding (1765–1818),",Politiker und Schweizer Staatsmann,"{""coordinates"": [[7.62232053061914, 47.547386400631765], [7.622514608643876, 47.54738342305531], [7.622842889565131, 47.54737205750897]], ""type"": ""LineString""}","47.547380404008926,7.622581739441469",,1933,RED,Redingbrücke
215,112,C.F. Meyer-Strasse,"Conrad Ferdinand Meyer (1825–1898),",Schweizer Schriftsteller,"{""coordinates"": [[[7.592087971662857, 47.53009226257831], [7.592088764805021, 47.52928646914908], [7.592088882162173, 47.52917012490927]], [[7.591840228350973, 47.53236043333837], [7.59184653806038, 47.53220358194174], [7.591846999988284, 47.532193319393706], [7.591847581434616, 47.5321830566884], [7.591848269119463, 47.532172793843365], [7.591849076348395, 47.53216253983488], [7.591849976535874, 47.53215228570407], [7.591850996267312, 47.53214204040978], [7.591852122237023, 47.53213179497577], [7.59185336775055, 47.5321215583782], [7.591854719528008, 47.53211133063466], [7.591856177569339, 47.53210111174512], [7.591857741848684, 47.53209089271576], [7.591859425671589, 47.53208068252292], [7.591861202504161, 47.532070490195316], [7.59186309885437, 47.5320602977104], [7.591865114747958, 47.53205011406204], [7.59186722365103, 47.532039948278815], [7.59195119124629, 47.53164624151198], [7.59195737392088, 47.53161649082919], [7.591963423765772, 47.5315867313268], [7.591969327475685, 47.53155695402848], [7.591975085076683, 47.53152716792814], [7.59198069656899, 47.53149737302565], [7.591986175206708, 47.53146756030983], [7.591991507710404, 47.531437729798235], [7.591996694131946, 47.531407899478396], [7.592001734419943, 47.53137805136275], [7.59200664188009, 47.53134819442764], [7.592011403207175, 47.5313183196968], [7.592016018453061, 47.53128844515779], [7.592020487566365, 47.53125855282304], [7.592024810598965, 47.53122866068017], [7.592029000779064, 47.53119875072416], [7.59203304485312, 47.53116883196627]], [[7.592044715239185, 47.531075487765236], [7.592047280757916, 47.53105325167207], [7.592049779876721, 47.53103101566614], [7.592052199316121, 47.53100877976489], [7.592054525770854, 47.53098653499208], [7.592056785800104, 47.530964281312734], [7.592058952870724, 47.53094202775559], [7.59206105354188, 47.53091977428567], [7.592063074508301, 47.53089751192675], [7.592065015795924, 47.53087524967251], [7.592066864125337, 47.530852987540534], [7.592068646029833, 47.53083071650203], [7.592070348255826, 47.5308084455683], [7.592071970803417, 47.53078617473929], [7.592073513646875, 47.53076389502124], [7.592074976812136, 47.530741615408], [7.592076360299298, 47.53071933589949], [7.592077664108448, 47.53069705649576], [7.592078888213875, 47.530674768203035], [7.592080032641499, 47.530652480015036], [7.592081097391421, 47.5306301919318], [7.592082082463743, 47.53060790395342], [7.592083001112183, 47.530585607068495], [7.592083826803772, 47.530563310305816], [7.592084572843886, 47.53054102264172], [7.592085239180975, 47.53051872608863], [7.592085839094556, 47.530496420629056], [7.592086346077541, 47.53047412428551], [7.592086773383623, 47.53045182804681], [7.59208713429232, 47.53042953189537], [7.592087402219074, 47.53040722687241], [7.592087603774456, 47.53038493093053], [7.592087712348113, 47.5303626261172], [7.592087971662857, 47.53009226257831]], [[7.59203304485312, 47.53116883196627], [7.592036098601509, 47.53114550697939], [7.592039059364338, 47.53112217312085], [7.592041927141723, 47.53109883039074], [7.592044715239185, 47.531075487765236]]], ""type"": ""MultiLineString""}","47.530770572397905,7.592022916359771",,1950 / 1978,MEY,C.F. Meyer-Str.
221,437,Oserweglein,"Friedrich Oser (1820–1891),",Baselbieter Pfarrer und Dichter,"{""coordinates"": [[7.585961959212322, 47.53138352543336], [7.585893148581785, 47.53144790020232], [7.585888724672432, 47.53145207892301], [7.585884367235037, 47.53145628454096], [7.585880049710299, 47.53146051708979], [7.58587579865754, 47.531464776535806], [7.585871614076773, 47.531469062879154], [7.585867482663566, 47.53147336714279], [7.585863404467481, 47.53147770731426], [7.585859392718633, 47.53148206538928], [7.585855434186922, 47.531486459372154], [7.58585154210247, 47.53149087125857], [7.585847703185619, 47.53149530106524], [7.585843930765602, 47.531499766763076], [7.585840211513204, 47.53150425038123], [7.585836558708116, 47.53150875190291], [7.585832972375121, 47.53151328032197], [7.585829439234548, 47.53151783565515], [7.585825972541316, 47.53152240889188], [7.585822572295444, 47.53152700003222], [7.585819225242025, 47.53153161808666], [7.585815944635985, 47.5315362540447], [7.585812730477339, 47.531540907906326], [7.585809582766108, 47.53154557967155], [7.58580648824738, 47.53155027835096], [7.585803473455771, 47.53155499491721], [7.585800511831927, 47.531559729403845], [7.585797616655543, 47.531564481794064], [7.585794787926639, 47.53156925208794], [7.585792025645233, 47.531574040285435], [7.585789316506871, 47.53157883740954], [7.585786687120502, 47.531583661414295], [7.5857841241569, 47.53158849432892], [7.585781614385922, 47.53159335415772], [7.585779184317452, 47.53159822287967], [7.585776807392106, 47.531603100528194], [7.585774510218826, 47.531608005057464], [7.585772266163944, 47.53161290951957], [7.585770101861161, 47.53161784086233], [7.585768003981273, 47.53162278111499], [7.585765972524293, 47.53162773027755], [7.585763994235291, 47.53163269736058], [7.585762095648945, 47.5316376733367], [7.585760263485564, 47.531642658222744], [7.585758511049627, 47.53164766099572], [7.585756811756984, 47.53165267269532], [7.58575517888735, 47.531657693304844], [7.585753625720479, 47.53166272280756], [7.585752138976654, 47.531667761220184], [7.585750718680661, 47.53167281753646], [7.585749364783, 47.53167787376892], [7.585748077308451, 47.53168293891128], [7.58574686953675, 47.53168801294681], [7.585745728188201, 47.53169309589224], [7.585744639958335, 47.531698178770625], [7.585743644735858, 47.531703279519164], [7.585742702632113, 47.53170838020064], [7.58574184020656, 47.5317134807815], [7.585741044229012, 47.531718599266036], [7.585740314649966, 47.531723717666786], [7.585739651469451, 47.531728835983685], [7.585739067991971, 47.53173396319375], [7.585738550913058, 47.53173909031993], [7.585738100232733, 47.531744217362345], [7.585737715975774, 47.5317493533147], [7.585737411397173, 47.53175448916637]], ""type"": ""LineString""}","47.53155434557446,7.585823195942008",,1968,OSE,Oserweglein
