,2Name,2wikiQLabel,2wikiQ
0,Kaufhausgasse,Kaufhaus,
0,C.F. Meyer-Strasse,C.F. Meyer,
0,Oserweglein,Oserweglein,
0,Joh.Jak. Spreng-Gässlein,Joh.Jak. Spreng-Gässlein,
0,Voltamatte,Voltamatte,
0,Urs Graf-Strasse,Urs Graf,
0,Riehentorstrasse,Riehentor,
0,Bahnhof-Passerelle,Bahnhof-Passerelle,
0,St. Johanns-Hafen-Weg,St. Johanns-Hafen,
0,Friedrich Oser-Strasse,Friedrich Oser,
0,General Guisan-Strasse,General Guisan,
0,Aeneas Silvius-Strasse,Aeneas Silvius,
0,Oekolampadstrasse,Oekolampad,
0,Klingentalgraben,Klingental,
0,Katja Wulff-Anlage,Katja Wulff-Anlage,
0,Henric Petri-Strasse,Henric Petri,
0,Daniel Fechter-Promenade,Daniel Fechter,
0,Emil Angst-Strasse,Emil Angst,
0,Mittlere Rheinbrücke,Mittlere Rhein,
0,Schanzenstrasse,Schanzen,
0,Im Schmiedenhof,Im Schmiedenhof,
0,J.J. Balmer-Strasse,J.J. Balmer,
0,Schertlingasse,Schertlin,
0,Birmannsgasse,Birmanns,
0,Elisabethenanlage,Elisabethen,
0,Lachenalweglein,Lachenalweglein,
0,Kartausgasse,Kartaus,
0,Paul Sacher-Anlage,Paul Sacher-Anlage,
0,Cécile Ines Loos-Anlage,Cécile Ines Loos-Anlage,
0,Kasernenhof,Kasernenhof,
0,Fechterweglein,Fechterweglein,
0,Schäublinweglein,Schäublinweglein,
0,Vesalgasse,Vesal,
0,Castellioweglein,Castellioweglein,
0,Kasernenstrasse,Kasernen,
0,Elisabethenstrasse,Elisabethen,
0,De Wette-Strasse,De Wette,
0,Elisabethenschanze,Elisabethen,
0,Hauserweglein,Hauserweglein,
0,Keltentreppe,Keltentreppe,
0,Herbergsgasse,Herbergs,
0,Kanonengasse,Kanonen,
0,Bollwerk-Promenade,Bollwerk,
0,Elisabethen-Passage,Elisabethen,
0,Beim Wagdenhals,Beim Wagdenhals,
