,STR_ESID,Name,wikiQLabel,wikiQ,instance
1,10256874,Katja Wulff-Anlage,Katja Wulff,http://www.wikidata.org/entity/Q43267718,Mensch
2,10256872,Wibrandis Rosenblatt-Weg,Wibrandis Rosenblatt,http://www.wikidata.org/entity/Q120460,Mensch
3,10256875,Gretel Bolliger-Promenade,Gretel Bolliger,http://www.wikidata.org/entity/Q40127518,Mensch
7,10255060,Helli Stehle-Weg,Helli Stehle,http://www.wikidata.org/entity/Q22687790,Mensch
64,10087588,Gottfried Keller-Strasse,Gottfried Keller,http://www.wikidata.org/entity/Q122370,Mensch
67,10025102,Paracelsusstrasse,Paracelsus,http://www.wikidata.org/entity/Q83428,Mensch
86,10025055,Friedrichstrasse,Friedrich,http://www.wikidata.org/entity/Q63086,Mensch
131,10058920,Karl Barth-Platz,Karl Barth,http://www.wikidata.org/entity/Q107473,Mensch
156,10144811,Meret Oppenheim-Strasse,Meret Oppenheim,http://www.wikidata.org/entity/Q61594,Mensch
171,10063525,Gustav Wenk-Strasse,Gustav Wenk,http://www.wikidata.org/entity/Q1556519,Mensch
194,10179467,Hermann Suter-Strasse,Hermann Suter,http://www.wikidata.org/entity/Q671472,Mensch
228,10087630,Peter Rot-Strasse,Peter Rot,http://www.wikidata.org/entity/Q17579891,Mensch
244,10089625,Jacob Burckhardt-Strasse,Jacob Burckhardt,http://www.wikidata.org/entity/Q59945,Mensch
255,10120309,Peter Ochs-Strasse,Peter Ochs,http://www.wikidata.org/entity/Q676747,Mensch
271,10089603,Wilhelm His-Strasse,Wilhelm His,http://www.wikidata.org/entity/Q69526,Mensch
276,10025347,Arnold Böcklin-Strasse,Arnold Böcklin,http://www.wikidata.org/entity/Q123071,Mensch
292,10120975,Emanuel Büchel-Strasse,Emanuel Büchel,http://www.wikidata.org/entity/Q117083,Mensch
293,10190870,Albert Oeri-Strasse,Albert Oeri,http://www.wikidata.org/entity/Q15456906,Mensch
294,10077452,Albert Schweitzer-Strasse,Albert Schweitzer,http://www.wikidata.org/entity/Q49325,Mensch
324,10026531,Lukas Legrand-Strasse,Lukas Legrand,http://www.wikidata.org/entity/Q21544966,Mensch
334,10110172,Wilhelm Klein-Strasse,Wilhelm Klein,http://www.wikidata.org/entity/Q94729,Mensch
369,10025143,Talweg,Tal,http://www.wikidata.org/entity/Q453841,Mensch
371,10155187,Peter Merian-Weg,Peter Merian,http://www.wikidata.org/entity/Q2077023,Mensch
383,10087607,Julia Gauss-Strasse,Julia Gauss,http://www.wikidata.org/entity/Q1711843,Mensch
487,10179465,Peter Merian-Strasse,Peter Merian,http://www.wikidata.org/entity/Q2077023,Mensch
489,10074950,Rudolf Wackernagel-Strasse,Rudolf Wackernagel,http://www.wikidata.org/entity/Q1766733,Mensch
502,10055736,Hermann Kinkelin-Strasse,Hermann Kinkelin,http://www.wikidata.org/entity/Q198530,Mensch
602,10222842,Fritz Hauser-Promenade,Fritz Hauser,http://www.wikidata.org/entity/Q681957,Mensch
609,10024812,Talweg,Tal,http://www.wikidata.org/entity/Q453841,Mensch
630,10026802,Hans Huber-Strasse,Hans Huber,http://www.wikidata.org/entity/Q673938,Mensch
632,10026795,Achilles Bischoff-Strasse,Achilles Bischoff,http://www.wikidata.org/entity/Q15455792,Mensch
665,10145769,Friedrich Miescher-Strasse,Friedrich Miescher,http://www.wikidata.org/entity/Q116072,Mensch
713,10089621,Andreas Heusler-Strasse,Andreas Heusler,http://www.wikidata.org/entity/Q124610,Mensch
746,10180308,Niklaus von Flüe-Strasse,Niklaus von Flüe,http://www.wikidata.org/entity/Q115550,Mensch
762,10077451,Mathilde Paravicini-Strasse,Mathilde Paravicini,http://www.wikidata.org/entity/Q1908713,Mensch
779,10026523,Hermann Albrecht-Strasse,Hermann Albrecht,http://www.wikidata.org/entity/Q96675,Mensch
790,10089624,Christoph Merian-Platz,Christoph Merian,http://www.wikidata.org/entity/Q122485,Mensch
796,10026521,Eugen Wullschleger-Strasse,Eugen Wullschleger,http://www.wikidata.org/entity/Q1372980,Mensch
831,10200636,Max Kämpf-Platz,Max Kämpf,http://www.wikidata.org/entity/Q122519,Mensch
865,10063518,Fritz Hauser-Strasse,Fritz Hauser,http://www.wikidata.org/entity/Q681957,Mensch
888,10144809,Paul Sacher-Anlage,Paul Sacher,http://www.wikidata.org/entity/Q124102,Mensch
906,10026186,Theodor Herzl-Strasse,Theodor Herzl,http://www.wikidata.org/entity/Q44003,Mensch
932,10125845,Rudolfstrasse,Rudolf,http://www.wikidata.org/entity/Q519491,Mensch
1022,10087916,Oscar Frey-Strasse,Oscar Frey,http://www.wikidata.org/entity/Q1383856,Mensch
1065,10256873,Emilie Louise Frey-Strasse,Emilie Louise Frey,http://www.wikidata.org/entity/Q96364286,Mensch
1066,10256869,Rut Keiser-Strasse,Rut Keiser,http://www.wikidata.org/entity/Q2177406,Mensch
1067,10256871,Kunigunde-Platz,Kunigunde,http://www.wikidata.org/entity/Q458385,Mensch
1068,10256870,Gertrud Spiess-Strasse,Gertrud Spiess,http://www.wikidata.org/entity/Q1515691,Mensch
1069,10256876,Dora Schmidt-Strasse,Dora Schmidt,http://www.wikidata.org/entity/Q94521874,Mensch
1075,10246335,Anne Frank-Platz,Anne Frank,http://www.wikidata.org/entity/Q4583,Mensch
1077,10251569,Iris von Roten-Platz,Iris von Roten,http://www.wikidata.org/entity/Q122049,Mensch
1083,10222694,Irène Zurkinden-Platz,Irène Zurkinden,http://www.wikidata.org/entity/Q1673322,Mensch
1084,10222601,Maja Sacher-Platz,Maja Sacher,http://www.wikidata.org/entity/Q1885994,Mensch
1099,10251565,Hermann Hesse-Platz,Hermann Hesse,http://www.wikidata.org/entity/Q25973,Mensch
1102,10206940,Meret Oppenheim-Platz,Meret Oppenheim,http://www.wikidata.org/entity/Q61594,Mensch
1167,10222736,Cécile Ines Loos-Anlage,Cécile Ines Loos,http://www.wikidata.org/entity/Q1150116,Mensch
1195,10222574,Heinrich Heusser-Weg,Heinrich Heusser,http://www.wikidata.org/entity/Q94908916,Mensch
1214,10222680,Peter Merian-Brücke,Peter Merian,http://www.wikidata.org/entity/Q2077023,Mensch
