bfsnr;lang_de_fr
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
37;1
38;1
39;1
40;1
41;1
43;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
131;1
135;1
136;1
137;1
138;1
139;1
141;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
172;1
173;1
176;1
177;1
178;1
180;1
181;1
182;1
191;1
192;1
193;1
194;1
195;1
196;1
197;1
198;1
199;1
200;1
211;1
213;1
214;1
215;1
216;1
218;1
219;1
220;1
221;1
223;1
224;1
225;1
226;1
227;1
228;1
230;1
231;1
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;1
249;1
250;1
251;1
261;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
309;1
310;1
311;1
312;1
321;1
322;1
323;1
324;1
325;1
326;1
329;1
331;1
332;1
333;1
335;1
336;1
337;1
338;1
339;1
340;1
341;1
342;1
344;1
345;1
351;1
352;1
353;1
354;1
355;1
356;1
357;1
358;1
359;1
360;1
361;1
362;1
363;1
371;1
372;1
381;1
382;1
383;1
385;1
386;1
387;1
388;1
389;1
390;1
391;1
392;1
393;1
394;1
401;1
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;1
412;1
413;1
414;1
415;1
418;1
420;1
421;1
422;1
423;1
424;1
431;2
432;2
433;2
434;2
435;2
437;1
438;2
441;2
442;2
443;2
444;2
445;2
446;2
448;2
449;2
450;2
491;1
492;1
493;1
494;1
495;1
496;1
497;1
498;1
499;1
500;1
501;1
502;1
533;1
535;1
536;1
538;1
540;1
541;1
543;1
544;1
546;1
551;1
552;1
553;1
554;1
556;1
557;1
561;1
562;1
563;1
564;1
565;1
566;1
567;1
571;1
572;1
573;1
574;1
575;1
576;1
577;1
578;1
579;1
580;1
581;1
582;1
584;1
585;1
586;1
587;1
588;1
589;1
590;1
591;1
592;1
593;1
594;1
602;1
603;1
605;1
606;1
607;1
608;1
609;1
610;1
611;1
612;1
613;1
614;1
615;1
616;1
617;1
619;1
620;1
622;1
623;1
626;1
627;1
628;1
629;1
630;1
632;1
662;1
663;1
665;1
666;1
667;1
668;1
669;1
670;1
671;1
681;2
683;2
687;2
690;2
691;2
692;2
694;2
696;2
700;2
701;2
703;2
704;2
706;2
707;2
708;1
709;1
711;2
713;2
715;1
716;2
717;2
723;2
724;2
726;2
731;1
732;1
733;1
734;1
735;1
736;1
737;1
738;1
739;1
740;1
741;1
742;1
743;1
744;1
745;1
746;1
747;1
748;1
749;1
750;1
751;1
754;1
755;1
756;1
761;1
762;1
763;1
766;1
767;1
768;1
769;1
770;1
782;1
783;1
784;1
785;1
786;1
791;1
792;1
793;1
794;1
841;1
842;1
843;1
852;1
853;1
855;1
861;1
863;1
866;1
867;1
868;1
869;1
870;1
872;1
877;1
879;1
880;1
883;1
884;1
885;1
886;1
888;1
889;1
901;1
902;1
903;1
904;1
905;1
906;1
907;1
908;1
909;1
921;1
922;1
923;1
924;1
925;1
927;1
928;1
929;1
931;1
932;1
934;1
935;1
936;1
938;1
939;1
940;1
941;1
942;1
943;1
944;1
945;1
946;1
947;1
948;1
951;1
952;1
953;1
954;1
955;1
956;1
957;1
958;1
959;1
960;1
971;1
972;1
973;1
975;1
976;1
977;1
979;1
980;1
981;1
982;1
983;1
985;1
987;1
988;1
989;1
990;1
991;1
992;1
993;1
995;1
1001;1
1002;1
1004;1
1005;1
1007;1
1008;1
1009;1
1010;1
1021;1
1023;1
1024;1
1025;1
1026;1
1030;1
1031;1
1032;1
1033;1
1037;1
1039;1
1040;1
1041;1
1051;1
1052;1
1053;1
1054;1
1055;1
1056;1
1057;1
1058;1
1059;1
1061;1
1062;1
1063;1
1064;1
1065;1
1066;1
1067;1
1068;1
1069;1
1081;1
1082;1
1083;1
1084;1
1085;1
1086;1
1088;1
1089;1
1091;1
1093;1
1094;1
1095;1
1097;1
1098;1
1099;1
1100;1
1102;1
1103;1
1104;1
1107;1
1121;1
1122;1
1123;1
1125;1
1127;1
1128;1
1129;1
1131;1
1132;1
1135;1
1136;1
1137;1
1139;1
1140;1
1142;1
1143;1
1145;1
1146;1
1147;1
1150;1
