GMDHISTID;GMDNR;GMDNAME;BZHISTID;BZNR;KTNR;GRNR;AREA_HA;E_CNTR;N_CNTR;Z_CNTR;GMD_STR_LENGTH
13256;1;Aeugst am Albis;10053;101;1;4;791;2679300;1235700;700;26.51615592
11742;2;Affoltern am Albis;10053;101;1;4;1059;2676800;1236800;490;66.71183867
11801;3;Bonstetten;10053;101;1;4;743;2677800;1241000;544;31.50157063
11992;4;Hausen am Albis;10053;101;1;4;1360;2682900;1233100;610;42.4959572
12249;5;Hedingen;10053;101;1;4;653;2676400;1239000;503;33.14270288
12671;6;Kappel am Albis;10053;101;1;4;792;2682400;1231300;573;19.97920921
12674;7;Knonau;10053;101;1;4;647;2677500;1230900;431;22.98865828
12738;8;Maschwanden;10053;101;1;4;469;2674800;1232000;400;12.7470877
12433;9;Mettmenstetten;10053;101;1;4;1303;2677600;1233000;471;63.17047317
12497;10;Obfelden;10053;101;1;4;754;2675100;1235300;453;36.65640564
13124;11;Ottenbach;10053;101;1;4;502;2673000;1237200;412;24.79018955
12891;12;Rifferswil;10053;101;1;4;651;2680100;1232800;582;19.13113508
10575;13;Stallikon;10053;101;1;4;1202;2679500;1242100;552;37.7263196
13255;14;Wettswil am Albis;10053;101;1;4;377;2678200;1243700;565;25.24164548
11735;21;Adlikon;10082;102;1;4;658;2694300;1271000;447;21.49270795
11862;22;Benken (ZH);10082;102;1;4;566;2691300;1278800;424;21.01527061
11855;23;Berg am Irchel;10082;102;1;4;701;2687200;1269400;411;13.32864517
15513;24;Buch am Irchel;10082;102;1;4;1021;2689100;1267000;534;26.45431312
11573;25;Dachsen;10082;102;1;4;270;2688600;1280000;393;18.08724254
12182;26;Dorf;10082;102;1;4;556;2691000;1269800;425;17.51965714
11973;27;Feuerthalen;10082;102;1;4;248;2690400;1283000;413;22.09789246
11997;28;Flaach;10082;102;1;4;1017;2688000;1270100;361;34.66735693
11935;29;Flurlingen;10082;102;1;4;242;2689400;1282000;394;12.96549395
13214;30;Andelfingen;10082;102;1;4;674;2693300;1272200;402;38.38903226
12240;31;Henggart;10082;102;1;4;303;2693600;1268700;447;19.86466941
12173;32;Humlikon;10082;102;1;4;368;2692700;1270300;434;15.84277811
12699;33;Kleinandelfingen;10082;102;1;4;1029;2693600;1272800;365;38.43715702
12635;34;Laufen-Uhwiesen;10082;102;1;4;628;2689800;1280600;446;23.98285721
12742;35;Marthalen;10082;102;1;4;1413;2690900;1275700;392;43.28119724
13128;37;Ossingen;10082;102;1;4;1309;2696800;1274200;417;38.88876774
12912;38;Rheinau;10082;102;1;4;895;2687700;1277700;361;29.39578114
10563;39;Thalheim an der Thur;10082;102;1;4;644;2699000;1270600;389;22.12993315
10898;40;Trüllikon;10082;102;1;4;956;2694300;1277100;434;32.45816367
10899;41;Truttikon;10082;102;1;4;441;2696800;1276200;465;12.63814041
10365;43;Volken;10082;102;1;4;320;2689300;1270000;406;6.870125299
11683;51;Bachenbülach;10081;103;1;4;431;2683600;1262000;430;30.68901158
11685;52;Bassersdorf;10081;103;1;4;903;2689800;1255500;462;55.1008524
11461;53;Bülach;10081;103;1;4;1609;2683000;1263700;420;107.8543195
11563;54;Dietlikon;10081;103;1;4;425;2689000;1253400;442;33.84577085
12168;55;Eglisau;10081;103;1;4;906;2681600;1269900;344;42.07837025
12292;56;Embrach;10081;103;1;4;1269;2687100;1262000;427;58.2980977
11960;57;Freienstein-Teufen;10081;103;1;4;840;2686300;1265100;376;25.43041187
12056;58;Glattfelden;10081;103;1;4;1229;2680000;1268000;372;68.86006173
12166;59;Hochfelden;10081;103;1;4;617;2681200;1264100;399;18.87929649
12220;60;Höri;10081;103;1;4;479;2680600;1262400;409;25.18576281
12178;61;Hüntwangen;10081;103;1;4;491;2679200;1272200;391;18.40224546
12673;62;Kloten;10081;103;1;4;1927;2686300;1256300;436;105.7601442
12720;63;Lufingen;10081;103;1;4;518;2687200;1260500;455;22.09326191
12547;64;Nürensdorf;10081;103;1;4;1004;2691300;1255800;502;44.38485231
12524;65;Oberembrach;10081;103;1;4;1026;2688900;1260300;458;33.9010592
12483;66;Opfikon;10081;103;1;4;559;2685900;1254100;450;56.1380095
13090;67;Rafz;10081;103;1;4;1068;2682600;1274100;417;50.06407837
12919;68;Rorbas;10081;103;1;4;444;2685700;1264800;403;22.23210826
10451;69;Wallisellen;10081;103;1;4;642;2687200;1252200;454;67.71347285
10443;70;Wasterkingen;10081;103;1;4;396;2677800;1271600;393;6.66736863
10268;71;Wil (ZH);10081;103;1;4;894;2680400;1273300;406;28.13086819
10331;72;Winkel;10081;103;1;4;811;2684200;1260800;459;47.58782955
11704;81;Bachs;10080;104;1;4;913;2675400;1264300;463;25.65281251
11786;82;Boppelsen;10080;104;1;4;396;2672600;1258200;513;11.80491252
11456;83;Buchs (ZH);10080;104;1;4;584;2675400;1256800;436;37.20957513
11578;84;Dällikon;10080;104;1;4;451;2675400;1254800;438;20.27286527
11581;85;Dänikon;10080;104;1;4;287;2672900;1255400;442;10.72872889
11567;86;Dielsdorf;10080;104;1;4;587;2676500;1259600;454;39.58750768
12181;87;Hüttikon;10080;104;1;4;159;2671500;1255400;437;7.164000395
12537;88;Neerach;10080;104;1;4;604;2678000;1263000;428;29.56009376
12534;89;Niederglatt;10080;104;1;4;360;2680300;1260600;414;25.33542099
12560;90;Niederhasli;10080;104;1;4;1130;2678900;1259500;421;56.14417427
12568;91;Niederweningen;10080;104;1;4;685;2670700;1262000;458;29.5420876
12469;92;Oberglatt;10080;104;1;4;825;2681500;1259000;432;32.3729618
12447;93;Oberweningen;10080;104;1;4;494;2672900;1261700;472;15.43495354
13126;94;Otelfingen;10080;104;1;4;715;2671500;1257200;443;26.5484956
13166;95;Regensberg;10080;104;1;4;237;2675400;1259600;611;11.25121006
13168;96;Regensdorf;10080;104;1;4;1462;2677500;1253800;443;85.89427694
12834;97;Rümlang;10080;104;1;4;1241;2682400;1256200;442;64.92471332
13046;98;Schleinikon;10080;104;1;4;568;2672100;1261200;473;14.14879171
13037;99;Schöfflisdorf;10080;104;1;4;401;2673700;1261500;474;18.39774058
10383;100;Stadel;10080;104;1;4;1289;2677500;1264700;435;45.71981076
10597;101;Steinmaur;10080;104;1;4;939;2676600;1261500;464;45.80500627
10448;102;Weiach;10080;104;1;4;958;2675200;1267800;383;25.17245801
11709;111;Bäretswil;10079;105;1;4;2219;2707200;1243800;705;64.9694008
11478;112;Bubikon;10079;105;1;4;1161;2704400;1236300;521;64.59793622
12159;113;Dürnten;10079;105;1;4;1022;2706200;1237200;511;54.28551308
12002;114;Fischenthal;10079;105;1;4;3024;2712100;1243400;744;54.15225595
12023;115;Gossau (ZH);10079;105;1;4;1826;2699600;1240400;456;90.28903378
11970;116;Grüningen;10079;105;1;4;879;2700200;1237900;493;38.55114355
12156;117;Hinwil;10079;105;1;4;2228;2706400;1239800;577;102.4408632
12883;118;Rüti (ZH);10079;105;1;4;1006;2707000;1235300;473;56.17463718
12951;119;Seegräben;10079;105;1;4;377;2700800;1244300;559;13.66566987
10459;120;Wald (ZH);10079;105;1;4;2527;2711700;1237200;620;91.98242767
10277;121;Wetzikon (ZH);10079;105;1;4;1681;2702700;1242100;532;102.7322324
11745;131;Adliswil;10078;106;1;4;777;2682200;1240700;449;58.45574685
12701;135;Kilchberg (ZH);10078;106;1;4;258;2683400;1241300;513;32.59747402
