id;str_nr;str_name;str_st_bezeichnung;str_von;str_bis;str_kreis;str_planquadrat;str_vb;str_up_kanton;snb_str_nr_ref;snb_erlaeuterung;snb_tafeltext_1;snb_tafeltext_2;objectid
437;2516;A1;gültig;Grenze Regensdorf Wehntalerstrasse;Grenze Opfikon Schaffhauserstrasse;11;H-P 6;AF/SE;1907+1908+2006+2007+2008;2516;Die A1, d. h. Autobahn 1, verbindet als West-Ost Verbindung Genf mit St. Gallen und endet in St. Margrethen an der österreichischen Grenze. Die ab dem 9. Dezember 1996 geltende Umbenennung von «N» (Nationalstrasse) auf «A» (Autobahn) geschah als Anpassung an die in Europa übliche Bezeichnung.;;;6395
2136;2517;A1H;gültig;Grenze Oberengstringen;Bernerstrasse Nord /Pfingstweidbrücke;9;G 9-J 10;AL;2205+2206;2517;"Der A1H ist der Autobahnzubringer Zürich-Hardturm.
Die ab dem 9. Dezember 1996 geltende Umbenennung von «N» (Nationalstrasse) auf «A» (Autobahn) geschah als Anpassung an die in Europa übliche Bezeichnung.";;;8096
332;2518;A1L;gültig;Grenze Opfikon A1;Süd-Portal Milchbucktunnel /Wasserwerkstrasse;6+11+12;N 11-Q 9;OB/OE/UN/SW;2108+2208+2307+2308;2518;"Der A1L ist der Autobahnzubringer Zürich-Letten.
Die ab dem 9. Dezember 1996 geltende Umbenennung von «N» (Nationalstrasse) auf «A» (Autobahn) geschah als Anpassung an die in Europa übliche Bezeichnung.";;;6283
1247;2519;A3;gültig;Grenze Stallikon Uetlibergtunnel;Grenze Adliswil Albisstrasse;2+3;J 17-M 19;LE/WD/WO;2606+2607+2707;2519;"Die A3, d. h. Autobahn 3, verläuft auf der Strecke Basel - Augst - Brugg - Birmenstorf - Zürich - Pfäffikon - Sargans.
Die ab dem 9. Dezember 1996 geltende Umbenennung von «N» (Nationalstrasse) auf «A» (Autobahn) geschah als Anpassung an die in Europa übliche Bezeichnung.";;;7207
;;;;;;;;;;;;;;
848;2520;A3W;gültig;Manesse- /Aegertenstrasse;A3 /Allmendstrasse 89;2+3;L/M 17;EN/WD/WO;2407+2507+2607;2520;"Der A3W ist der Autobahnzubringer Zürich-Wiedikon.
Die ab dem 9. Dezember 1996 geltende Umbenennung von «N» (Nationalstrasse) auf «A» (Autobahn) geschah als Anpassung an die in Europa übliche Bezeichnung.";;;6801
1703;1;Aargauerstrasse;gültig;Pfingstweidstrasse 105;Max-Högger-Strasse 81;9;H-K 11;AU/AL;2206;1;Benannt zu Ehren des Nachbarkantons Aargau.;;;7662
156;2;Abeggweg;gültig;Laubiweg 12;Fürstweg 11;6;N 10;UN;2207;2;Abegg: Unternehmerfamilie aus Küsnacht (ZH), alter Wipkinger Familienname.;;;6118
262;3;Abendweg;gültig;Bellariastrasse 56;Mutschellenstrasse 83;2;M 16;WO;2607;3;Ein gegen Sonnenuntergang («Abend»), d. h. gegen Westen führender Weg.;;;6217
1560;4;Achermannweg;gültig;Regensbergstrasse 120;Baumackerstrasse 8;11;O 8/9;OE;2108;4;Arnold Achermann (1890-1970): Erster Präsident des Schulkreises Glatttal 1934-1954.;"Arnold Achermann (1890-1970)
Erster Präsident des Schulkreises Glatttal";;7522
1928;5;Ackermannstrasse;gültig;Toblerstrasse 107;nordöstl. Sackgasse;7;P/Q 13;FL;2308+2408;5;Angehörige der Familie Ackermann wirkten von 1726 bis 1839 als Schulmeister in Fluntern.;;;7885
2467;6;Ackersteinstrasse;gültig;Im Sydefädeli 43;Limmattalstrasse 181;10;J 9-L 10;HG;2206+2207;6;Benannt nach dem Haus zum Rothen Ackerstein an der Limmattalstrasse 9, dem wahrscheinlich ältesten, aus dem Jahre 1674 stammenden Landsitz in Höngg. Der Ackerstein soll ein grosser, roter Findling gewesen sein, der gemäss Hausinschrift als Baumaterial für das Haus verwendet wurde.;;;8426
311;7;Ackerstrasse;gültig;Zollstrasse 111;Sihlquai 115;5;M/N 12;IQ;2307;7;Erinnerung an das vor der Überbauung fruchtbare Ackerland von Aussersihl im sogenannten oberen Sihlfeld zwischen der Limmat und der Sihl.;;;6261
983;8;Adlisbergbachweg;gültig;Tobelhofstrasse;Köhlerstrasse;7;R 12;HO;2309;8;Weg entlang des Adlisbergbaches, der im Adlisberg entspringt und in den Sagentobelbach mündet. Der Adlisberg soll nach der Höhensiedlung eines Alemannen namens Adalo, Adilo oder Adilin benannt sein.;;;6941
1447;9;Adlisbergstrasse;gültig;Tobelhofstrasse;Dreiwiesen- /Katzenschwanzstrasse;7;Q-S 13;HO;2309+2409;9;Die Strasse führt zum Adlisberg. Der Name soll nach der Höhensiedlung eines Alemannen namens Adalo, Adilo, oder Adilin benannt sein.;;;7407
