;str_name;STR_ESID;snb_erlaeuterung;STN_LABEL;instance
0;Brunngasse;10096235;Im Jahr 1242 erstmals erwähnte Bezeichnung für die Gasse, an der sich der wohl der erste und vermutlich noch für lange Zeit einzige Röhrenbrunnen in der Stadt Zürich befand. Dieser Brunnen hiess das «Das Zübeli», nach der mundartlichen Form für lateinisch «tubulus», was Röhre bedeutet. Er soll bis 1869/70 genutzt worden sein. Damals wurde die Zuleitung von ausserhalb der Stadt beseitigt, womit der Brunnen versiegte.;Brunngasse;Siedlung
31;Poststrasse;10103841;In den Jahren 1835-1838 angelegte neue Hauptverbindungsstrasse zwischen dem Münsterhof und dem Paradeplatz. Die Strasse ist benannt nach dem Posthof, dem gleichzeitig erbauten neuen Hauptgebäude der damaligen Zürcher Post (1838-1872). Danach wurde der Posthof 1873-1876 zum Zentralhof ausgebaut.;Poststrasse;Siedlung
201;Zurlindenstrasse;10108763;Benannt nach der 1396 erstmals bezeugten und im 19. Jahrhundert ausgestorbenen Familie Zurlinden aus Wiedikon, die in einem Haus zur Linde gelebt haben soll.;Zurlindenstrasse;Person
205;Talstrasse;10069751;Zweite Längsstrasse im Talackerquartier. Der vor den Mauern der mittelalterlichen Stadt und tiefer als diese gelegene «Talacker» wird im Jahr 1259 erstmals erwähnt. Er bestand aus Äckern, Reben und Gärten. Im 17. Jahrhundert wurde der Talacker in die Stadtbefestigung einbezogen und durch die Talackerstrasse erschlossen. Die Talstrasse entstand 1836 als Parallellstrasse, als das Quartier durch die Beseitigung der Befestigungsanlagen bis zum Schanzengraben hin erweitert werden konnte.;Talstrasse;Natur
285;Grabenweg;10141751;Weg entlang eines Bach- oder Entwässerungsgrabens im Gebiet des Adlisberges und Looren.;Grabenweg;Natur
335;Rebenweg;10156299;Im Gebiet nördlich des Rütschlibaches gab es früher Reben.;Rebenweg;Lebewesen
424;Batteriestrasse;10087454;Erinnerung an die heute noch im Gelände sichtbaren Artilleriestellungen der französischen Truppen auf dem Zürichberg, die zur Verteidigung der Stadt Zürich gegen die österreichischen Angreifer im Frühjahr 1799 errichtet wurden und in der Ersten Schlacht von Zürich im Juni 1799 zum Einsatz kamen.;Batteriestrasse;Andere
426;Bahnhofstrasse;10250733;Boulevard, der entlang der früheren Stadtmauer und an Stelle des zur Mauer gehörenden Stadtgrabens - des Fröschengrabens - von der Schifflände über den Paradeplatz zum Zürcher Hauptbahnhof führt. Nach dem Entscheid, den Standort des ersten Bahnhofs von 1846-1847 nicht zu verändern, wurde die Bahnhofstrasse zur repräsentativen Verkehrsverbindung zwischen dem See, den Hotels und der Post am Paradeplatz und dem Bahnhof. Sie entstand durch Aufschüttung des mittelalterlichen Stadtgrabens, der damals noch immer Wasser führte, in den Jahren 1864-1865 Teilstück Bahnhofplatz-Paradeplatz und 1877-1880 Teilstück Paradeplatz-Schifflände.;Bahnhofstrasse;Siedlung
944;Schulstrasse;10174831;Strasse vom Zentrum von Oerlikon zum 1874 eingeweihten Schulhaus Halde A.;Schulstrasse;Siedlung
1237;Bogenweg;10141765;Der Name des Weges scheint sich von dessen Verlauf am Ötlisberg abzuleiten. Allerdings führt der Weg an einem Waldstück entlang, das den Namen «Bogen» trägt, womit auch die Ableitung von diesem Flurnamen denkbar ist.;Bogenweg;Andere
