;STR_ESID;SPACY_DE;SPACY_DE_LEMMA;SPACY_DE_ENT;SPACY_FR;SPACY_FR_LEMMA;SPACY_FR_ENT;STN_LABEL_x;DIC_Lebewesen;DIC_Ortschaft;DIC_Berufe;DIC_Gewässer;DIC_Berg;DIC_Siedlung;DIC_Religion;DIC_Natur;wikiQLabel;wikiQ;sex_x;birth;death;placebirth;placedeath;image;classif;qid;instanceLabel;dateBirth;pic;sex_y;instance_x;STN_LABEL_y;STN_LABEL_FINAL;str_name;snb_erlaeuterung;STN_LABEL;instance_y;instance
4;10096235;Brunn;Brunn;;Brunn;Brunn;;Brunngasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Brunngasse;Im Jahr 1242 erstmals erwähnte Bezeichnung für die Gasse, an der sich der wohl der erste und vermutlich noch für lange Zeit einzige Röhrenbrunnen in der Stadt Zürich befand. Dieser Brunnen hiess das «Das Zübeli», nach der mundartlichen Form für lateinisch «tubulus», was Röhre bedeutet. Er soll bis 1869/70 genutzt worden sein. Damals wurde die Zuleitung von ausserhalb der Stadt beseitigt, womit der Brunnen versiegte.;Brunngasse;Siedlung;Siedlung
6;10103841;Post;Post;;Post;Post;;Poststrasse;;;;;;post;;;;;;;;;;;Siedlung;;;;;;;;;Poststrasse;In den Jahren 1835-1838 angelegte neue Hauptverbindungsstrasse zwischen dem Münsterhof und dem Paradeplatz. Die Strasse ist benannt nach dem Posthof, dem gleichzeitig erbauten neuen Hauptgebäude der damaligen Zürcher Post (1838-1872). Danach wurde der Posthof 1873-1876 zum Zentralhof ausgebaut.;Poststrasse;Siedlung;Siedlung
8;10108763;Zurlinden;zurlinden;;Zurlinden;Zurlinden;;Zurlindenstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Zurlindenstrasse;Benannt nach der 1396 erstmals bezeugten und im 19. Jahrhundert ausgestorbenen Familie Zurlinden aus Wiedikon, die in einem Haus zur Linde gelebt haben soll.;Zurlindenstrasse;Person;Person
40;10069751;Tal;Tal;;Tal;Tal;;Talstrasse;;;;;;;;tal$;http://www.wikidata.org/entity/Q453841;Tal;weiblich;1989-12-12T00:00:00Z;;http://www.wikidata.org/entity/Q2475182;;;Natur;;;;;;;;;Talstrasse;Zweite Längsstrasse im Talackerquartier. Der vor den Mauern der mittelalterlichen Stadt und tiefer als diese gelegene «Talacker» wird im Jahr 1259 erstmals erwähnt. Er bestand aus Äckern, Reben und Gärten. Im 17. Jahrhundert wurde der Talacker in die Stadtbefestigung einbezogen und durch die Talackerstrasse erschlossen. Die Talstrasse entstand 1836 als Parallellstrasse, als das Quartier durch die Beseitigung der Befestigungsanlagen bis zum Schanzengraben hin erweitert werden konnte.;Talstrasse;Natur;Natur
43;10141751;Graben;Graben;;Graben;Graben;;Grabenweg;;Graben;;;;;;grabe;;;;;;;;;Natur;;;;;;;;;Grabenweg;Weg entlang eines Bach- oder Entwässerungsgrabens im Gebiet des Adlisberges und Looren.;Grabenweg;Natur;Natur
45;10156299;Reben;Rebe;;Reben;Reben;;Rebenweg;Reben;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Rebenweg;Im Gebiet nördlich des Rütschlibaches gab es früher Reben.;Rebenweg;Lebewesen;Lebewesen
51;10087454;Batterie;Batterie;;Batterie;batterie;;Batteriestrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Batteriestrasse;Erinnerung an die heute noch im Gelände sichtbaren Artilleriestellungen der französischen Truppen auf dem Zürichberg, die zur Verteidigung der Stadt Zürich gegen die österreichischen Angreifer im Frühjahr 1799 errichtet wurden und in der Ersten Schlacht von Zürich im Juni 1799 zum Einsatz kamen.;Batteriestrasse;Andere;Andere
53;10250733;Bahnhof;Bahnhof;;Bahnhof;bahnhof;;Bahnhofstrasse;;;;;;hof$;;;;;;;;;;;Siedlung;;;;;;;;;Bahnhofstrasse;Boulevard, der entlang der früheren Stadtmauer und an Stelle des zur Mauer gehörenden Stadtgrabens - des Fröschengrabens - von der Schifflände über den Paradeplatz zum Zürcher Hauptbahnhof führt. Nach dem Entscheid, den Standort des ersten Bahnhofs von 1846-1847 nicht zu verändern, wurde die Bahnhofstrasse zur repräsentativen Verkehrsverbindung zwischen dem See, den Hotels und der Post am Paradeplatz und dem Bahnhof. Sie entstand durch Aufschüttung des mittelalterlichen Stadtgrabens, der damals noch immer Wasser führte, in den Jahren 1864-1865 Teilstück Bahnhofplatz-Paradeplatz und 1877-1880 Teilstück Paradeplatz-Schifflände.;Bahnhofstrasse;Siedlung;Siedlung
65;10174831;Schul;Schul;;Schul;Schul;;Schulstrasse;;;;;;schul;;;;;;;;;;;Siedlung;;;;;;;;;Schulstrasse;Strasse vom Zentrum von Oerlikon zum 1874 eingeweihten Schulhaus Halde A.;Schulstrasse;Siedlung;Siedlung
82;10141765;Bogen;Bogen;;Bogen;Bogen;;Bogenweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Bogenweg;Der Name des Weges scheint sich von dessen Verlauf am Ötlisberg abzuleiten. Allerdings führt der Weg an einem Waldstück entlang, das den Namen «Bogen» trägt, womit auch die Ableitung von diesem Flurnamen denkbar ist.;Bogenweg;Andere;Andere
87;10069811;General Guisan;Guisan;;General Guisan;Guisan;ORG;General Guisan-Strasse;;;General;;;;;;;;;;;;;;Beruf;Q123497;Q5;1874-10-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/GuisanPortraitETH-Bibliothek-Fel%20017299-RE.jpg;male;Person;General Guisan-Strasse;General Guisan;;;;;Person
91;10153016;Höhen;Höhe;;Höhen;Höhen;;Höhenweg;;;;;höhe;;;;;;;;;;;;Berg;;;;;;;;;Höhenweg;Auf einer Anhöhe oberhalb der Witikonerstrasse verlaufende Quartierstrasse.;Höhenweg;Natur;Natur
93;10177187;Linden;Linden;;Linden;linden;;Lindenstrasse;Linde;Linden;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Lindenstrasse;Anlage der Strasse gemäss Gemeindratsbeschluss Riesbach von 1870 als eine 5.4 Meter breite und mit grosszügigen Trottoirs versehene Allee, für deren Besetzung Lindenbäume ausgewählt wurden.;Lindenstrasse;Lebewesen;Lebewesen
95;10056225;Kirch;Kirch;;Kirch;Kirch;PER;Kirchgasse;;;;;;;kirch;;http://www.wikidata.org/entity/Q102281568;Kirch;männlich;;;;;;Religion;;;;;;;;;Kirchgasse;Im Jahr 1271 erstmals erwähnter Name für die Gasse, die vom Limmatquai am Grossmünster vorbei auf die Höhe des 1813 abgetragenen Lindentors führt. Das Chorherrenstift zum Grossmünster war prägend und namensgebend für die Gasse auch durch das Stiftsgebäude, die dortigen Chorherrenhöfe und weitere Häuser, die mit dem Grossmünster als der Hauptkirche Zürichs in Zusammenhang standen.;Kirchgasse;Religion;Religion
104;10026836;Garten;Garten;;Garten;Garten;;Gartenweg;;;;;;garten;;;;;;;;;;;Siedlung;;;;;;;;;Gartenweg;Ab 1877 angelegte Strasse in der Enge, im Bereich des dortigen Parkrings und Villenquartiers. Der Name des Privatwegs, der erst 1895 zu einer öffentlich Strasse wurde, mag eine Erinnerung an die grossen und gepflegten Gärten der einstigen Landsitze und Villen in der Zürcher Vorortsgemeinde sein.;Gartenweg;Siedlung;Siedlung
113;10025978;Basler;Basler;;Basler;Basler;;Baslerstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Baslerstrasse;Benannt «in Anbetracht der vielseitigen Beziehungen zwischen Basel und Zürich und als sinniger Ausklang der Freundschaftswoche im Jahre 1953», wie es im Benennungsbeschluss des Stadtrates heisst.;Baslerstrasse;Ortschaft;Ortschaft
125;10108780;Eisen;Ei;;Eisen;Eisen;;Eisengasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Eisengasse;Die Eisengasse in Riesbach verdankt ihren Namen vermutlich dem dort ansässigen Handwerk. Im Jahr 1870 betrieben dort Christoph Knüppel (1814-1889) eine Schlosserei und Sebastian Wehrli (1815-1871) eine Schmiede.;Eisengasse;Beruf;Beruf
133;10057781;Eichen;Eiche;;Eichen;Eichen;;Eichenweg;Eiche;Eich;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Eichenweg;Baumname, Baum aus der Pfanzenfamilie Buchengewächse.;Eichenweg;Lebewesen;Lebewesen
158;10096538;Erlen;Erl;;Erlen;erlen;;Erlenweg;;Erlen;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Erlenweg;Pflanzenname: Baum oder Strauch aus der Familie der Birkengewächse.;Erlenweg;Lebewesen;Lebewesen
170;10142363;Redingbrücke;Redingbrücke;;Redingbrücke;Redingbrücke;;Redingbrücke;;;;;;brücke;;;;;;;;;;;Siedlung;Q335977;Q5;1765-03-06T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Alois%20von%20Reding.jpg;male;Person;Redingbrücke;Redingbrücke;;;;;Person
181;10096227;Tal;Tal;;Tal;Tal;;Talweg;;;;;;;;tal$;http://www.wikidata.org/entity/Q453841;Tal;weiblich;1989-12-12T00:00:00Z;;http://www.wikidata.org/entity/Q2475182;;;Natur;;;;;;;;;Talweg;Talmulde, Geländevertiefung zwischen der Widmerstrasse und der Hornhalde.;Talweg;Natur;Natur
202;10022047;Dorf;Dorf;;Dorf;Dorf;PER;Dorfstrasse;;;;;;dorf;;;;;;;;;;;Siedlung;;;;;;;;;Dorfstrasse;Strasse im alten Dorfkern von Wipkingen, der auch «Im Dorf» genannt wurde.;Dorfstrasse;Siedlung;Siedlung
207;10250957;Dörfli;Dörfli;;Dörfli;Dörfli;;Dörflistrasse;;;;;;dörfli;;;;;;;;;;;Siedlung;;;;;;;;;Dörflistrasse;Strasse, die östlich um das ehemalige Dorf Oerlikon an der heutigen Schwamendingerstrasse führt.;Dörflistrasse;Siedlung;Siedlung
243;10024054;Ulmen;Ulme;;Ulmen;ulmen;;Ulmenweg;Ulme;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Ulmenweg;Baumname.;Ulmenweg;Lebewesen;Lebewesen
244;10062496;Ring;Ring;;Ring;Ring;;Ringstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Ringstrasse;Halbkreisförmige Strasse an der Peripherie der ehemaligen Gemeinde Oerlikon, die schon im Übersichtsplan von 1864 eingezeichnet ist und im Übersichtsplan von 1901 als Ringstrasse bezeichnet wird.;Ringstrasse;Andere;Andere
253;10023169;Allmend;Allmend;;Allmend;Allmend;;Allmendstrasse;;;;;;;;allmend;;;;;;;;;Natur;;;;;;;;;Allmendstrasse;Die Strasse in die Wollishofer Allmend wurde im Zusammenhang mit dem Bau der Sihltalbahn neu angelegt. Die Allmend in Wollishofen diente seit dem 17. Jahrhundert auch militärischen Zwecken und wurde dafür vom Kanton 1816 erworben. Teile der Wollishofer Allmend wurden als eidgenössischer Waffenplatz genutzt (1877-1987).;Allmendstrasse;Siedlung;Siedlung
255;10056252;Drossel;Drossel;;Drossel;Drossel;;Drosselstrasse;Drossel;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Drosselstrasse;Vogelfamilienname, in Mitteleuropa stark verbreitete Sperlingsvogelart.;Drosselstrasse;Lebewesen;Lebewesen
261;10215114;Mühlacker;Mühlacker;;Mühlacker;Mühlacker;;Mühlackerstrasse;;;;;;;;acker;;;;;;;;;Natur;;;;;;;;;Mühlackerstrasse;Flurname für die Äcker der Mühle am Holderbach.;Mühlackerstrasse;Natur;Natur
265;10128645;Flora;Flora;;Flora;Flora;;Florastrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Florastrasse;Benannt nach dem Haus zur Flora (1846-1931), Seefelstrasse 61, das an der Ecke zur Florastrasse stand. Flora war die römische Göttin der Blumen und der Jugend.;Florastrasse;Religion;Religion
267;10250966;Ricken;Ricken;;Ricken;Ricken;PER;Rickenstrasse;;Ricken;;;Ricken;;;;;;;;;;;;Berg;;;;;;;;;Rickenstrasse;Bedeutung unklar, vermutlich benannt nach «Rick», d. h. Gehege, oder nach dem Ricken, dem Pass zwischen der Linthebene und dem Toggenburg.;Rickenstrasse;Andere;Andere
291;10141477;Rössli;Rössli;LOC;Rössli;Rössli;;Rössligasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Rössligasse;Benannt nach dem Eckhaus hin zur Schifflände (Schifflände 30), dem Haus zum Rössli, das 1429 als Wirtshaus erwähnt wird. Gewirtet wurde im Rössli bis ins Jahr 1890.;Rössligasse;Andere;Andere
297;10140885;Reservoir;Reservoir;;Reservoir;reservoir;;Reservoirweg;;;;;;reservoir;;;;;;;;;;;Siedlung;;;;;;;;;Reservoirweg;Weg, der beim Wasserreservoir am Zürichberg vorbeiführt.;Reservoirweg;Siedlung;Siedlung
330;10121874;;;;;;;;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Gässli;Schon 1485 erwähnte Bezeichnung für den Durchgang zwischen den dicht stehenden Handwerkerhäusern oberhalb des Meierhofplatzes.;Gässli;Andere;Andere
352;10023038;Bubenberg;Bubenberg;;Bubenberg;Bubenberg;PER;Bubenbergstrasse;;;;;berg$;;;;;;;;;;;;Berg;Q124405;Q5;1434-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/BubenbergDenkmal%208406.jpg;male;Person;Bubenbergstrasse;Bubenberg;;;;;Person
364;10088683;Dorfbach;dorfbach;LOC;Dorfbach;Dorfbach;;Dorfbachweg;;;;bach$;;dorf;;;;;;;;;;;Gewässer;;;;;;;;;Dorfbachweg;Weg am Mittelteil des Dorfbachs von Höngg, der vom Moos durchs Dorf und dann über die Mühlehalde bei der Werdinsel in die Limmat fliesst.;Dorfbachweg;Gewässer;Gewässer
394;10110365;Aegerten;Aegert;;Aegerten;Aegerten;;Aegertenstrasse;;Aegerten;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Aegertenstrasse;Flurname «Aegerten» als Bezeichnung für eine ungepflügte Flur, die sich - wie das steinige und oft überschwemmte Gebiet zwischen dem alten Dorf Wiedikon und der Sihl - wenig für den Ackerbau eignete.;Aegertenstrasse;Siedlung;Siedlung
401;10072709;Mühle;Mühle;;Mühle;mühle;;Mühleweg;;;;;;mühle;;;;;;;;;;;Siedlung;;;;;;;;;Mühleweg;Strasse, die ihren Namen von einer einstigen Mühle im oberen Hard erhielt. Bei dieser Mühle knüpfte sie an die Badenerstrasse an und führte ins mittlere Hard und weiter zur Hardturmstrasse.;Mühleweg;Siedlung;Siedlung
451;10122258;Lerchen;Lerchen;;Lerchen;Lerchen;;Lerchenweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Lerchenweg;Tiername, Vogelart.;Lerchenweg;Lebewesen;Lebewesen
491;10158921;Aubepines;Aubepines;;Aubepines;aubepine;;Chemin des Aubépines;Aubepine;;;;;;;;;;;;;;;;Lebewesen;Q132557;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg;;Lebewesen;Chemin des Aubépines;Aubepines;;;;;Lebewesen
493;10021753;Canal;Canal;;Canal;Canal;;Chemin du Canal;Cana;;;;;canal;;;;;;;;;;;Siedlung;Q12284;Q1428660;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Canal%20du%20midi%20toulouse.jpg;;Gewässer;Chemin du Canal;Canal;;;;;Gewässer
495;10055666;Payerne;Payerne;;Payerne;Payerne;;Route de Payerne;;Payerne;;;;;;;;;;;;;;;Ortschaft;Q69525;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Picswiss%20VD-49-06.jpg;;Ortschaft;Route de Payerne;Payerne;;;;;Ortschaft
572;10073501;Linden;Linden;;Linden;linden;;Lindenweg;Linde;Linden;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Lindenweg;Baumname.;Lindenweg;Lebewesen;Lebewesen
