;qid;instanceLabel;dateBirth;pic;sex;instance;STR_ESID;STN_LABEL;STN_LABEL_FINAL
0;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10022177;Tavelweg;Tavel
1;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10089404;Tavelweg;Tavel
2;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10117105;Tavelweg;Tavel
3;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10012974;Tavelweg;Tavel
4;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10198126;Tavelweg;Tavel
5;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10007940;Tavelweg;Tavel
6;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;10009567;Tavelweg;Tavel
7;Q1693700;Q5;1641-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Huber%2C%20Johann%20Friedrich%20Willading.jpg;male;Person;10083732;Willadingweg;Willading
8;Q1551898;Q13417114;9999;kein;;Person;10046160;Luternauweg;Luternau
9;Q670805;Q5;1484-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9D%D0%B8%D0%BA%D0%BB%D0%B0%D1%83%D1%81%20%D0%9C%D0%B0%D0%BD%D1%83%D1%8D%D0%BB%D1%8C%20%D0%94%D0%BE%D0%B9%D1%87.%20%D0%90%D0%B2%D1%82%D0%BE%D0%BF%D0%BE%D1%80%D1%82%D0%B5%D1%82%20%281520%2C%20%D0%91%D0%B0%D0%B7%D0%B5%D0%BB%D1%8C%29.jpg;male;Person;10083724;Manuelstrasse;Manuel
10;Q325117;Q5;1746-01-15T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Freudenberger%2C%20Dunker.jpg;male;Person;10083717;Dunkerstrasse;Dunker
