;Unnamed: 0;str_name;STR_ESID;snb_erlaeuterung;STN_LABEL;instance
0;0;Brunngasse;10096235;Im Jahr 1242 erstmals erwähnte Bezeichnung für die Gasse, an der sich der wohl der erste und vermutlich noch für lange Zeit einzige Röhrenbrunnen in der Stadt Zürich befand. Dieser Brunnen hiess das «Das Zübeli», nach der mundartlichen Form für lateinisch «tubulus», was Röhre bedeutet. Er soll bis 1869/70 genutzt worden sein. Damals wurde die Zuleitung von ausserhalb der Stadt beseitigt, womit der Brunnen versiegte.;Brunngasse;Siedlung
1;31;Poststrasse;10103841;In den Jahren 1835-1838 angelegte neue Hauptverbindungsstrasse zwischen dem Münsterhof und dem Paradeplatz. Die Strasse ist benannt nach dem Posthof, dem gleichzeitig erbauten neuen Hauptgebäude der damaligen Zürcher Post (1838-1872). Danach wurde der Posthof 1873-1876 zum Zentralhof ausgebaut.;Poststrasse;Siedlung
2;201;Zurlindenstrasse;10108763;Benannt nach der 1396 erstmals bezeugten und im 19. Jahrhundert ausgestorbenen Familie Zurlinden aus Wiedikon, die in einem Haus zur Linde gelebt haben soll.;Zurlindenstrasse;Person
3;205;Talstrasse;10069751;Zweite Längsstrasse im Talackerquartier. Der vor den Mauern der mittelalterlichen Stadt und tiefer als diese gelegene «Talacker» wird im Jahr 1259 erstmals erwähnt. Er bestand aus Äckern, Reben und Gärten. Im 17. Jahrhundert wurde der Talacker in die Stadtbefestigung einbezogen und durch die Talackerstrasse erschlossen. Die Talstrasse entstand 1836 als Parallellstrasse, als das Quartier durch die Beseitigung der Befestigungsanlagen bis zum Schanzengraben hin erweitert werden konnte.;Talstrasse;Natur
4;285;Grabenweg;10141751;Weg entlang eines Bach- oder Entwässerungsgrabens im Gebiet des Adlisberges und Looren.;Grabenweg;Natur
5;335;Rebenweg;10156299;Im Gebiet nördlich des Rütschlibaches gab es früher Reben.;Rebenweg;Lebewesen
6;424;Batteriestrasse;10087454;Erinnerung an die heute noch im Gelände sichtbaren Artilleriestellungen der französischen Truppen auf dem Zürichberg, die zur Verteidigung der Stadt Zürich gegen die österreichischen Angreifer im Frühjahr 1799 errichtet wurden und in der Ersten Schlacht von Zürich im Juni 1799 zum Einsatz kamen.;Batteriestrasse;Andere
7;426;Bahnhofstrasse;10250733;Boulevard, der entlang der früheren Stadtmauer und an Stelle des zur Mauer gehörenden Stadtgrabens - des Fröschengrabens - von der Schifflände über den Paradeplatz zum Zürcher Hauptbahnhof führt. Nach dem Entscheid, den Standort des ersten Bahnhofs von 1846-1847 nicht zu verändern, wurde die Bahnhofstrasse zur repräsentativen Verkehrsverbindung zwischen dem See, den Hotels und der Post am Paradeplatz und dem Bahnhof. Sie entstand durch Aufschüttung des mittelalterlichen Stadtgrabens, der damals noch immer Wasser führte, in den Jahren 1864-1865 Teilstück Bahnhofplatz-Paradeplatz und 1877-1880 Teilstück Paradeplatz-Schifflände.;Bahnhofstrasse;Siedlung
8;944;Schulstrasse;10174831;Strasse vom Zentrum von Oerlikon zum 1874 eingeweihten Schulhaus Halde A.;Schulstrasse;Siedlung
9;1237;Bogenweg;10141765;Der Name des Weges scheint sich von dessen Verlauf am Ötlisberg abzuleiten. Allerdings führt der Weg an einem Waldstück entlang, das den Namen «Bogen» trägt, womit auch die Ableitung von diesem Flurnamen denkbar ist.;Bogenweg;Andere
10;1249;Höhenweg;10153016;Auf einer Anhöhe oberhalb der Witikonerstrasse verlaufende Quartierstrasse.;Höhenweg;Natur
11;1459;Lindenstrasse;10177187;Anlage der Strasse gemäss Gemeindratsbeschluss Riesbach von 1870 als eine 5.4 Meter breite und mit grosszügigen Trottoirs versehene Allee, für deren Besetzung Lindenbäume ausgewählt wurden.;Lindenstrasse;Lebewesen
12;1600;Kirchgasse;10056225;Im Jahr 1271 erstmals erwähnter Name für die Gasse, die vom Limmatquai am Grossmünster vorbei auf die Höhe des 1813 abgetragenen Lindentors führt. Das Chorherrenstift zum Grossmünster war prägend und namensgebend für die Gasse auch durch das Stiftsgebäude, die dortigen Chorherrenhöfe und weitere Häuser, die mit dem Grossmünster als der Hauptkirche Zürichs in Zusammenhang standen.;Kirchgasse;Religion
13;1791;Gartenweg;10026836;Ab 1877 angelegte Strasse in der Enge, im Bereich des dortigen Parkrings und Villenquartiers. Der Name des Privatwegs, der erst 1895 zu einer öffentlich Strasse wurde, mag eine Erinnerung an die grossen und gepflegten Gärten der einstigen Landsitze und Villen in der Zürcher Vorortsgemeinde sein.;Gartenweg;Siedlung
14;1962;Baslerstrasse;10025978;Benannt «in Anbetracht der vielseitigen Beziehungen zwischen Basel und Zürich und als sinniger Ausklang der Freundschaftswoche im Jahre 1953», wie es im Benennungsbeschluss des Stadtrates heisst.;Baslerstrasse;Ortschaft
15;1981;Eisengasse;10108780;Die Eisengasse in Riesbach verdankt ihren Namen vermutlich dem dort ansässigen Handwerk. Im Jahr 1870 betrieben dort Christoph Knüppel (1814-1889) eine Schlosserei und Sebastian Wehrli (1815-1871) eine Schmiede.;Eisengasse;Beruf
16;1990;Eichenweg;10057781;Baumname, Baum aus der Pfanzenfamilie Buchengewächse.;Eichenweg;Lebewesen
17;2105;Erlenweg;10096538;Pflanzenname: Baum oder Strauch aus der Familie der Birkengewächse.;Erlenweg;Lebewesen
18;2265;Talweg;10096227;Talmulde, Geländevertiefung zwischen der Widmerstrasse und der Hornhalde.;Talweg;Natur
19;2314;Dorfstrasse;10022047;Strasse im alten Dorfkern von Wipkingen, der auch «Im Dorf» genannt wurde.;Dorfstrasse;Siedlung
20;2951;Dörflistrasse;10250957;Strasse, die östlich um das ehemalige Dorf Oerlikon an der heutigen Schwamendingerstrasse führt.;Dörflistrasse;Siedlung
21;2977;Ulmenweg;10024054;Baumname.;Ulmenweg;Lebewesen
22;3020;Ringstrasse;10062496;Halbkreisförmige Strasse an der Peripherie der ehemaligen Gemeinde Oerlikon, die schon im Übersichtsplan von 1864 eingezeichnet ist und im Übersichtsplan von 1901 als Ringstrasse bezeichnet wird.;Ringstrasse;Andere
