;name;name:etymology:wikidata;Unnamed: 0;STR_ESID;STN_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_OFFICIAL;STR_EASTING;STR_NORTHING;STN_LABEL_NO_BI;STN_LABEL_NO_TERMS;STR_TERMS;STR_PREPS;STN_LABEL_FINAL
0;Tavelweg;Q124667;3313;10022177;Tavelweg;2275;Murten;FR;True;2576509.0;1197547.0;Tavelweg;Tavel;weg;;Tavel
1;Tavelweg;Q124667;78725;10089404;Tavelweg;387;Lengnau (BE);BE;True;2594575.0;1225189.0;Tavelweg;Tavel;weg;;Tavel
2;Tavelweg;Q124667;80161;10117105;Tavelweg;356;Muri bei Bern;BE;True;2603562.0;1197746.0;Tavelweg;Tavel;weg;;Tavel
3;Tavelweg;Q124667;83217;10012974;Tavelweg;979;Herzogenbuchsee;BE;True;2620038.0;1225679.0;Tavelweg;Tavel;weg;;Tavel
4;Tavelweg;Q124667;83516;10198126;Tavelweg;880;Rüeggisberg;BE;True;2602847.0;1187735.0;Tavelweg;Tavel;weg;;Tavel
5;Tavelweg;Q124667;84272;10007940;Tavelweg;351;Bern;BE;True;2601872.0;1199531.0;Tavelweg;Tavel;weg;;Tavel
6;Tavelweg;Q124667;84934;10009567;Tavelweg;337;Roggwil (BE);BE;True;2628580.0;1232646.0;Tavelweg;Tavel;weg;;Tavel
7;Willadingweg;Q1693700;66996;10083732;Willadingweg;351;Bern;BE;True;2601982.0;1198416.0;Willadingweg;Willading;weg;;Willading
8;Luternauweg;Q1551898;78929;10046160;Luternauweg;351;Bern;BE;True;2602209.0;1198276.0;Luternauweg;Luternau;weg;;Luternau
9;Manuelstrasse;Q670805;66122;10083724;Manuelstrasse;351;Bern;BE;True;2602371.0;1198207.0;Manuelstrasse;Manuel;strasse;;Manuel
10;Dunkerstrasse;Q325117;60708;10083717;Dunkerstrasse;351;Bern;BE;True;2603097.0;1199231.0;Dunkerstrasse;Dunker;strasse;;Dunker
11;Rudolf Wackernagel-Strasse;Q1766733;26385;10074950;Rudolf Wackernagel-Strasse;2703;Riehen;BS;True;2615834.0;1269086.0;Rudolf Wackernagel-Strasse;Rudolf Wackernagel;strasse;;Rudolf Wackernagel
12;Wölflistrasse;Q364638;82569;10159594;Wölflistrasse;351;Bern;BE;True;2602928.0;1201611.0;Wölflistrasse;Wölfli;strasse;;Wölfli
13;Dändlikerweg;Q94731721;64890;10084855;Dändlikerweg;351;Bern;BE;True;2600779.0;1201567.0;Dändlikerweg;Dändliker;weg;;Dändliker
14;Guisanstrasse;Q123497;124340;10006214;Guisanstrasse;404;Burgdorf;BE;True;2613604.0;1212621.0;Guisanstrasse;Guisan;strasse;;Guisan
15;Guisanstrasse;Q123497;139752;10016810;Guisanstrasse;3203;St. Gallen;SG;True;2746201.0;1255766.0;Guisanstrasse;Guisan;strasse;;Guisan
16;Guisanstrasse;Q123497;176282;10043030;Guisanstrasse;4946;Weinfelden;TG;True;2725582.0;1269415.0;Guisanstrasse;Guisan;strasse;;Guisan
17;Dufourstrasse;Q123238;23537;10068247;Dufourstrasse;2701;Basel;BS;True;2611788.0;1266855.0;Dufourstrasse;Dufour;strasse;;Dufour
18;Dufourstrasse;Q123238;68410;10009275;Dufourstrasse;351;Bern;BE;True;2601197.0;1198974.0;Dufourstrasse;Dufour;strasse;;Dufour
19;Dufourstrasse;Q123238;75056;10189596;Dufourstrasse;942;Thun;BE;True;2614153.0;1177767.0;Dufourstrasse;Dufour;strasse;;Dufour
20;Dufourstrasse;Q123238;82279;10050702;Dufourstrasse;404;Burgdorf;BE;True;2613525.0;1212588.0;Dufourstrasse;Dufour;strasse;;Dufour
21;Dufourstrasse;Q123238;86851;10117579;Dufourstrasse;161;Zollikon;ZH;True;2685401.0;1244269.0;Dufourstrasse;Dufour;strasse;;Dufour
22;Dufourstrasse;Q123238;94312;10051628;Dufourstrasse;4201;Lenzburg;AG;True;2654365.0;1248838.0;Dufourstrasse;Dufour;strasse;;Dufour
23;Dufourstrasse;Q123238;101799;10007199;Dufourstrasse;261;Zürich;ZH;True;2684109.0;1245880.0;Dufourstrasse;Dufour;strasse;;Dufour
24;Dufourstrasse;Q123238;102282;10010589;Dufourstrasse;1061;Luzern;LU;True;2665550.0;1211065.0;Dufourstrasse;Dufour;strasse;;Dufour
25;Dufourstrasse;Q123238;109020;10117210;Dufourstrasse;4001;Aarau;AG;True;2646593.0;1248495.0;Dufourstrasse;Dufour;strasse;;Dufour
26;Dufourstrasse;Q123238;127829;10181263;Dufourstrasse;4045;Wettingen;AG;True;2666675.0;1257856.0;Dufourstrasse;Dufour;strasse;;Dufour
27;Dufourstrasse;Q123238;132208;10072291;Dufourstrasse;3215;Rorschach;SG;True;2754565.0;1260295.0;Dufourstrasse;Dufour;strasse;;Dufour
28;Dufourstrasse;Q123238;137107;10033362;Dufourstrasse;3213;Goldach;SG;True;2752938.0;1260365.0;Dufourstrasse;Dufour;strasse;;Dufour
29;Dufourstrasse;Q123238;146675;10191087;Dufourstrasse;3427;Wil (SG);SG;True;2721098.0;1258436.0;Dufourstrasse;Dufour;strasse;;Dufour
30;Dufourstrasse;Q123238;166342;10073296;Dufourstrasse;3203;St. Gallen;SG;True;2745743.0;1254726.0;Dufourstrasse;Dufour;strasse;;Dufour
31;Dufourstrasse;Q123238;174017;10043020;Dufourstrasse;4946;Weinfelden;TG;True;2724966.0;1269555.0;Dufourstrasse;Dufour;strasse;;Dufour
32;Dufourstrasse;Q123238;174631;10042379;Dufourstrasse;4671;Kreuzlingen;TG;True;2730043.0;1279711.0;Dufourstrasse;Dufour;strasse;;Dufour
33;Dufourstrasse;Q123238;184757;10036896;Dufourstrasse;4436;Romanshorn;TG;True;2745799.0;1270429.0;Dufourstrasse;Dufour;strasse;;Dufour
34;Dufourstrasse;Q123238;186204;10090824;Dufourstrasse;2513;Biberist;SO;True;2609410.0;1226697.0;Dufourstrasse;Dufour;strasse;;Dufour
35;Gutenbergstrasse;Q8958;30240;10111641;Gutenbergstrasse;2769;Münchenstein;BL;True;2612922.0;1262911.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
36;Gutenbergstrasse;Q8958;56745;10084821;Gutenbergstrasse;351;Bern;BE;True;2599742.0;1199276.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
37;Gutenbergstrasse;Q8958;130326;10081227;Gutenbergstrasse;1301;Einsiedeln;SZ;True;2699423.0;1220705.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
38;Gutenbergstrasse;Q8958;132230;10092934;Gutenbergstrasse;3340;Rapperswil-Jona;SG;True;2705348.0;1232156.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
39;Gutenbergstrasse;Q8958;133609;10030305;Gutenbergstrasse;3298;Walenstadt;SG;True;2742272.0;1220761.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
40;Gutenbergstrasse;Q8958;134000;10046713;Gutenbergstrasse;3231;Au (SG);SG;True;2765309.0;1253738.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
41;Gutenbergstrasse;Q8958;141891;10134109;Gutenbergstrasse;3203;St. Gallen;SG;True;2745801.0;1254161.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
42;Gutenbergstrasse;Q8958;149044;10030599;Gutenbergstrasse;3443;Gossau (SG);SG;True;2736712.0;1253054.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
43;Gutenbergstrasse;Q8958;174382;10073486;Gutenbergstrasse;4561;Felben-Wellhausen;TG;True;2713808.0;1270010.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
44;Gutenbergstrasse;Q8958;174816;10042395;Gutenbergstrasse;4671;Kreuzlingen;TG;True;2730204.0;1279158.0;Gutenbergstrasse;Gutenberg;strasse;;Gutenberg
