DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
1;Abbrucharbeiter, Abbrucharbeiterin;Ackergauchheil;Aeugst am Albis;Rhein;Albrun
2;Abbruchmeister, Abbruchmeisterin;Ackerröte;Aeugstertal;Aare;Antrona
3;Abbruchtechniker, Abbruchtechnikerin;Ackerschotendotter;Zwillikon;Rhone;Augstbord
4;Abdecker;Adelgras;Affoltern am Albis;Reuss;Balme
5;Abfallbeseitiger, Abfallbeseitigerin;Adlerfarn;Bonstetten;Thur;Barna
6;Abgeordneter, Abgeordnete;Adonisröschen;Hausen am Albis;Saane;Bocchetta di Val Maggia
7;ABM-Kraft;Agar-Agar;Ebertswil;Ticino;Boeuf
8;Abt, Äbtissin;Agave;Hedingen;Emme;Bunderchrinde
9;Abteilungsleiter, Abteilungsleiterin;Ährenlilie;Kappel am Albis;Doubs;Carmenna
10;Achatschleifer, Achatschleiferin;Ahorn;Hauptikon;Birs;Carnusa
11;Adjutant;Akanthus;Uerzlikon;Broye;Casanna
12;Administrator, Administratorin;Akazie;Knonau;Sihl;Chaschauna
13;Admiral;Akelei;Maschwanden;Hinterrhein;Chésery
14;Änderungsschneider, Änderungsschneiderin;Alant;Mettmenstetten;Töss;Cheville
15;Agent, Agentin;Alge;Obfelden;Maggia;Chinzig Chulm
16;Akrobat, Akrobatin;Algenfarn;Ottenbach;Simme;Chräzeren
17;Altenpflegehelfer, Altenpflegehelferin;Alkanna;Rifferswil;Orbe;Chrüzli
18;Altenpfleger, Altenpflegerin;Allermannsharnisch;Stallikon;Sitter;Corno
19;Anästhesietechnischer Assistent, Anästhesietechnische Assistentin;Almrausch;Uetliberg;Moesa;Cristallina
20;Änderungsschneider, Änderungsschneiderin;Aloe;Wettswil;Kander;Diesrut
21;Angiologe, Angiologin;Alpenampfer;Adlikon b. Andelfingen;Suze;Durand
22;Angler, Anglerin;Alpenrose;Benken ZH;Wigger;Duranna
23;Animateur, Animateurin;Alpenveilchen;Berg am Irchel;Alter Rhein;Encel
24;Animierdame;Amarant;Gräslikon;Talent;Euschels
25;Anlageberater, Anlageberaterin;Amarelle;Buch am Irchel;Albula;Ferret Grand
26;Anlagenberater;Ambrosia;Dachsen;Venoge;Ferret Petit
27;Anlagenmechaniker, Anlagenmechanikerin;Ammei;Dorf;Vispa;Foo
28;Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik, Anlagenmechanikerin für Sanitär-, Heizungs- und Klimatechnik;Ammoniacum;Feuerthalen;Glâne;Fórcola
29;Ansager, Ansagerin;Ampfer;Langwiesen;Landquart;Fuorcla Surlej
30;Anstreicher, Anstreicherin;Ananas;Flaach;Engelberger Aa;Fuorcla da Patnaul
31;Anwalt, Anwältin;Andel;Flurlingen;Gelgia;Furcletta
32;Anwaltsgehilfe, Anwaltsgehilfin;Andorn;Andelfingen;Dünnern;Futschöl
33;Apothekenhelfer, Apothekenhelferin;Anemone;Henggart;Linth;Geisspfad
34;Apparatebauer, Apparatebauerin;Angelika;Humlikon;Brenno;Gemmi
35;Arbeiter, Arbeiterin;Angosturabaum;Kleinandelfingen;Limmat;Giümela
36;Architekt, Architektin;Anis;Alten;Glatt;Gredigs Fürggli
37;Archivar, Archivarin;Apfel;Oerlingen;Kleine Emme;Greina
38;Archivassistent, Archivassistentin;Aprikose;Nohl;Sense;Gries
39;Arrangeur, Arrangeurin;Araukarie;Uhwiesen;Mentue;Grünenberg
40;Artist, Artistin;Arekapalme;Marthalen;Suhre;Güner Lückli
41;Arzt, Ärztin;Aremonie;Ellikon am Rhein;Murg;Guriner Furggu
42;Arzthelfer, Arzthelferin;Armenische Brombeere;Ossingen;Verzasca;Heidel
43;Asphaltbauer, Asphaltbauerin;Arnika;Rheinau;Plessur;Heubützli
44;Assistent, Assistentin;Aronstab;Thalheim an der Thur;Rabiusa;Hörnligrat
45;Assistent für Automatisierungs- und Computertechnik, Assistentin für Automatisierungs- und Computertechnik;Artischocke;Rudolfingen;Seez;Illsee
46;Assistent für den Gesundheitstourismus, Assistentin für den Gesundheitstourismus;Arve;Wildensbuch;Areuse;Joch
47;Assistent für Freizeitwirtschaft, Assistentin für Freizeitwirtschaft;Arznei-Beinwell;Trüllikon;Necker;Jorat
48;Assistent für Geovisualisierung, Assistentin für Geovisualisierung;Asant;Truttikon;Wyna;Kisten
49;Assistent für Hotelmanagement, Assistentin für Hotelmanagement;Asarine;Volken;Calancasca;Kleine Scheidegg
50;Assistent für Informatik, Assistentin für Informatik (Fachbereiche: allgemeine Informatik, Betriebsinformatik, Medieninformatik, Softwaretechnik, technische Informatik, Wirtschaftsinformatik);Aster;Bachenbülach;Allaine;Lona
51;Assistent für Innenarchitektur, Assistentin für Innenarchitektur;Attich;Bassersdorf;Dranse de Bagnes;Lötschen
52;Assistent für Lebensmittelkontrolle, Assistentin für Lebensmittelkontrolle;Aubergine;Bülach;Glogn;Maienfelder Furgga
53;Assistent für Logistik, Assistentin für Logistik;Augentrost;Dietlikon;Landwasser;Meidpass
54;Assistent für medizinische Gerätetechnik, Assistentin für medizinische Gerätetechnik;Aurikel;Eglisau;Langeten;Menouve
55;Assistent für Produktdesign, Assistentin für Produktdesign;Azalee;Embrach;Sorne;Monte Moro
56;Assistent für technische Kommunikation und Dokumentation, Assistentin für technische Kommunikation und Dokumentation;Baldrian;Freienstein;Lorze;Muretto
57;Assistent im Gesundheits- und Sozialwesen, Assistentin im Gesundheits- und Sozialwesen;Bärenklau;Teufen ZH;Arbogne;Naret
58;Assistent in der Systemgastronomie, Assistentin in der Systemgastronomie;Bärentraube;Glattfelden;Ergolz;Niemet
