;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath;image
0;10000262;Bouleaux;;;;;;;;
1;10000263;Varonnes;;;;;;;;
2;10000264;Sorvilier;;;;;;;;
3;10000265;Edouard Tieche;;;;;;;;
4;10000266;Principale;;;;;;;;
5;10000267;Orge;;;;;;;;
6;10000268;Aulnes;;;;;;;;
7;10000269;Pres;;;;;;;;
8;10000270;Nord;;;;;;;;
9;10001358;Terrasse Dortu;;;;;;;;
10;10001712;Bois Corbaz;;;;;;;;
11;10001714;Chapelle;http://www.wikidata.org/entity/Q62085197;Chapelle;masculin;;;;;
12;10001722;Sonnaz;;;;;;;;
13;10001728;Pensier;;;;;;;;
14;10001730;Argilleres;;;;;;;;
15;10001734;Vallon;;;;;;;;
16;10004175;Rosenieres;;;;;;;;
17;10004177;Jatte;;;;;;;;
18;10004178;Gare;;;;;;;;
19;10004187;Gare;;;;;;;;
20;10004189;Champs Carnaux;;;;;;;;
21;10004191;Fenatte;;;;;;;;
22;10004192;Beau Site;;;;;;;;
23;10004193;Envers;;;;;;;;
24;10004194;Martinets;;;;;;;;
25;10004196;Clos Fiola;;;;;;;;
26;10004197;Cornette;;;;;;;;
27;10004198;Gourbache;;;;;;;;
28;10004199;Cret;;;;;;;;
29;10004268;Nord;;;;;;;;
30;10004269;Stade;;;;;;;;
31;10004270;Dos Velle;;;;;;;;
32;10004271;Fiose;;;;;;;;
33;10004272;Condemines;;;;;;;;
34;10004273;Molez;;;;;;;;
35;10004274;Bonne;;;;;;;;
36;10004275;Est;;;;;;;;
37;10004277;Pres;;;;;;;;
38;10004278;16 Mars;;;;;;;;
39;10004279;Moulin;;;;;;;;
40;10004414;Echelette;;;;;;;;
41;10004420;Sentier;;;;;;;;
42;10004422;Oeuches;;;;;;;;
43;10004423;Vernes;;;;;;;;
44;10004427;Principale;;;;;;;;
45;10004428;Sonville;;;;;;;;
46;10004432;Rue;;;;;;;;
47;10004438;Beausite;;;;;;;;
48;10004439;Montoz;;;;;;;;
49;10004440;Eglise;;;;;;;;
50;10004441;Cascade;;;;;;;;
51;10004442;Malterres;;;;;;;;
52;10004443;Pinsons;;;;;;;;
