;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath
0;10000000;Dorf;;;;;;;
1;10000001;Ebmatt;;;;;;;
2;10000002;Erspel;;;;;;;
3;10000005;Hüebli;;;;;;;
4;10000006;Kapf;;;;;;;
5;10000007;Kirch;;;;;;;
6;10000008;Kämmoos;;;;;;;
7;10000009;Mittlistberg;;;;;;;
8;10000010;Pommern;;;;;;;
9;10000011;Rotenstein;;;;;;;
10;10000012;Rutschberg;;;;;;;
11;10000013;Rüti;;;;;;;
12;10000014;Quellen;;;;;;;
13;10000015;Rauti;;;;;;;
14;10000016;Scheller;;;;;;;
15;10000017;See;;;;;;;
16;10000018;Unterort;;;;;;;
17;10000021;Baumgarten;;;;;;;
18;10000022;Baumgarten;;;;;;;
19;10000023;Blumen;;;;;;;
20;10000025;Buck;;;;;;;
21;10000027;Bürgerheim;;;;;;;
22;10000028;Bürglimatte;;;;;;;
23;10000029;Bürgli;;;;;;;
24;10000031;Drusberg;;;;;;;
25;10000033;Engel;;;;;;;
26;10000035;Fabrik;;;;;;;
27;10000037;Flora;;;;;;;
28;10000038;Forstberg;;;;;;;
29;10000039;Friedberg;;;;;;;
30;10000040;Fuhr;;;;;;;
31;10000041;Fuhr;;;;;;;
32;10000042;Garten;;;;;;;
33;10000043;Gerberacher;;;;;;;
34;10000044;Gessner;;;;;;;
35;10000045;Glärnisch;;;;;;;
36;10000046;Grünau;;;;;;;
37;10000047;Gulmen;;;;;;;
38;10000049;Hangenmoos;;;;;;;
39;10000052;Hoffnungs;;;;;;;
40;10000053;Industrie;;;;;;;
41;10000054;Julius Hauser;;;;;;;
42;10000055;Kirch;;;;;;;
43;10000056;Kreuz;;;;;;;
44;10000057;Linden;;;;;;;
45;10000059;Matten;;;;;;;
46;10000060;Meierhof;;;;;;;
47;10000061;Merkur;;;;;;;
48;10000062;Mugeren;;;;;;;
49;10000063;Mühlebach;;;;;;;
50;10000064;Neudorf;;;;;;;
51;10000067;Oberdorf;;;;;;;
52;10000068;Leihof;;;;;;;
53;10000069;Obstgarten;;;;;;;
54;10000070;Palmen;;;;;;;
55;10000071;Reblauben;;;;;;;
56;10000072;Rosenberg;;;;;;;
57;10000073;Rötibodenholz;;;;;;;
58;10000074;Rötiboden;;;;;;;
59;10000075;Rütibüel;;;;;;;
60;10000076;Schlossgarten;;;;;;;
61;10000077;Schmidgass;;;;;;;
62;10000078;See;;;;;;;
63;10000079;See;;;;;;;
64;10000080;Sonnmatt;;;;;;;
65;10000082;Loren;;;;;;;
66;10000084;Nauengüetli;;;;;;;
67;10000085;Neu York;;;;;;;
68;10000086;Neuhus;;;;;;;
69;10000087;Niggital;;;;;;;
70;10000088;Oberhaltberg;;;;;;;
71;10000089;Rosenberg;;;;;;;
72;10000091;Rosen;;;;;;;
73;10000093;Scheiben;;;;;;;
74;10000094;Sonneck;;;;;;;
75;10000095;Sonnen;;;;;;;
76;10000096;Heissächer;;;;;;;
77;10000097;Hinderweid;;;;;;;
78;10000098;Hofächer;;;;;;;
79;10000099;Husächer;;;;;;;
80;10000100;Haldenächer;;;;;;;
81;10000101;Schürli;;;;;;;
82;10000102;Tüelen;;;;;;;
83;10000103;Langächer;;;;;;;
84;10000104;Oberhausensteig;;;;;;;
85;10000105;Pünten;;;;;;;
86;10000107;Schachen;;;;;;;
87;10000108;Stations;;;;;;;
88;10000109;Strumberg;;;;;;;
89;10000110;Weiherbrünneli;;;;;;;
90;10000112;Hof;;;;;;;
91;10000114;Oberdorf;;;;;;;
92;10000116;Schlatt;;;;;;;
93;10000119;Tüsler;;;;;;;
94;10000120;Bach;http://www.wikidata.org/entity/Q1861386;Bach;männlich;1882-11-09T00:00:00Z;1953-11-19T00:00:00Z;http://www.wikidata.org/entity/Q596028;http://www.wikidata.org/entity/Q214432
95;10000121;Brunn;;;;;;;
96;10000122;Harnisch;;;;;;;
97;10000123;Höfli;;;;;;;
98;10000124;Ifang;;;;;;;
99;10000125;Winkel;;;;;;;
100;10000126;Land;;;;;;;
101;10000127;Nüsatz;;;;;;;
102;10000128;Quarzwerk;;;;;;;
103;10000129;Rollenberg;;;;;;;
104;10000130;Schul;;;;;;;
105;10000131;Steig;;;;;;;
106;10000132;Trippi Trapp;;;;;;;
107;10000133;Chile;;;;;;;
108;10000134;Chloster;;;;;;;
109;10000135;Chüfer;;;;;;;
