;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
0;10000000;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
1;10000001;Ebmatt;;;;;;;;;;
2;10000002;Erspel;;;;;;;;;;
3;10000005;Hüebli;;;;;;;;;;
4;10000006;Kapf;http://www.wikidata.org/entity/Q105768;Anna Julia Kapfelsperger;Anna;;weiblich;1985-07-11T00:00:00Z;;http://www.wikidata.org/entity/Q213251;;
5;10000007;Kirch;http://www.wikidata.org/entity/Q102281568;Kirch;;;männlich;;;;;
6;10000008;Kämmoos;;;;;;;;;;
7;10000009;Mittlistberg;;;;;;;;;;
8;10000010;Pommern;;;;;;;;;;
9;10000011;Rotenstein;;;;;;;;;;
10;10000012;Rutschberg;;;;;;;;;;
11;10000013;Rüti;http://www.wikidata.org/entity/Q40117;Rutina Wesley;;Wesley;weiblich;1978-12-21T00:00:00Z;;http://www.wikidata.org/entity/Q23768;;
12;10000014;Quellen;;;;;;;;;;
13;10000015;Rauti;http://www.wikidata.org/entity/Q609799;Antti Rautiola;Antti;Rautiola;männlich;1988-02-08T00:00:00Z;;http://www.wikidata.org/entity/Q258447;;
14;10000016;Scheller;http://www.wikidata.org/entity/Q89238;Immanuel Johann Gerhard Scheller;Johann;;männlich;1735-03-22T00:00:00Z;1803-07-05T00:00:00Z;http://www.wikidata.org/entity/Q622582;http://www.wikidata.org/entity/Q214640;
15;10000017;See;;;;;;;;;;
16;10000018;Unterort;;;;;;;;;;
17;10000021;Baumgarten;http://www.wikidata.org/entity/Q62021621;Norbert Baumgarten;Norbert;;männlich;1973-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q14835;;
18;10000022;Baumgarten;http://www.wikidata.org/entity/Q62021621;Norbert Baumgarten;Norbert;;männlich;1973-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q14835;;
