;Name;wikiQLabel;wikiQ;instance
0;Anton von Blarerweg;Anton von Blarer;http://www.wikidata.org/entity/Q596128;Mensch
0;Ober-Aesch-Bannackerweg;Aesch Bannacker;;
0;Lärchenweg Häuli;Lärchen Häuli;;
0;Bois de Pouche;Bois Pouche;;
0;General Guisan-Strasse;General Guisan;;
0;Oskar Biderstrasse;Oskar Bider;http://www.wikidata.org/entity/Q688419;Mensch
0;Im Froloo-Eichli;Froloo Eichli;;
0;Chlei Bruederhölzli;Chlei Bruederhölzli;;
0;Chêne des Croix;Chene Croix;;
0;Gewerbezone Brüggfeld;Gewerbezone Brüggfeld;;
0;Rue Abbé-Gremaud;Abbe Gremaud;;
0;Derrey-la-Cabuche;Derrey Cabuche;;
0;Rue Pierre-Nicolas-Chenaux;Pierre Nicolas Chenaux;;
0;Outre-le-Ru;Outre Ru;;
0;Troncs Butevy;Troncs Butevy;;
0;Rue Antoine-de-Saint-Exupéry;Antoine Exupery;;
0;Gewerbezone Widalmi;Gewerbezone Widalmi;;
0;Veja da Stuls;Veja Stuls;;
0;Impasse du Chêne-Rouvre;Chene Rouvre;;
0;Charrière-des-Morts;Charriere Morts;;
0;Impasse Pra-Girard;Pra Girard;;
0;Impasse Chemin-Fleuri;Chemin Fleuri;;
0;Bas de l'Etang;Bas Etang;;
0;Les Trois Moulins;Trois Moulins;http://www.wikidata.org/entity/Q113700130;Fließgewässer
0;Route de Villaz-St-Pierre;Villaz Pierre;;
0;Rue Robert-Stalder;Robert Stalder;http://www.wikidata.org/entity/Q93253625;Mensch
0;Zone Industrielle du Vivier;Zone Industrielle Vivier;;
0;Impasse du Champ de l'Orme;Champ Orme;;
0;Le Village d'Amont;Village Amont;;
0;Place de l'Hôtel-de-Ville;Hotel Ville;;
0;Grossi Metzgera;Grossi Metzgera;;
0;Clos-Danet;Clos Danet;;
0;Derrey-les-Clos;Derrey Clos;;
0;Route de Monseigneur-Besson;Monseigneur Besson;;
0;Chemin de l'Eau-Vive;Eau Vive;;
0;Le Pâquier d'Amont;Paquier Amont;;
0;Riau de la Maula;Riau Maula;;
0;Impasse du Riant-Coteau;Riant Coteau;;
0;La Fin-Derrey;Fin Derrey;;
0;Les Totes Zoures;Totes Zoures;;
0;Chemin du Comte-Michel;Comte Michel;;
0;Chemin des Ru-de-Praz;Ru Praz;;
0;Les Poutes Paluds;Poutes Paluds;http://www.wikidata.org/entity/Q108204955;Schutzgebiet in Natur- oder Landschaftsschutz
0;Clos-de-Bonané;Clos Bonane;;
0;Route du Château-Bois;Chateau Bois;;
0;Rue du Vanil-Blanc;Vanil Blanc;http://www.wikidata.org/entity/Q108090430;Schutzgebiet in Natur- oder Landschaftsschutz
0;Route des Grands-Bois;Grands Bois;;
0;Route Derrière-la-Roche;Derriere Roche;;
0;Chemin du Pra d'Amont;Pra Amont;;
0;Quartier Bellevue;Quartier Bellevue;;
0;Route de Pra-Riond;Pra Riond;;
0;Le Perru d'Amont;Perru Amont;;
0;Pra de Mard;Pra Mard;;
0;Chemin du Bois-Cornard;Bois Cornard;;
0;Chemin Xavier-de-Poret;Xavier Poret;;
0;Crau Bovey;Crau Bovey;;
0;Vers-l'Eglise;Vers Eglise;;
0;Champ Moennoz;Champ Moennoz;;
0;Chemin des Champs-Dessus;Champs Dessus;;
0;Champ Nicollier;Champ Nicollier;;
0;Pré-Puceret;Pre Puceret;;
0;Au Pré à Jeanne;Pre Jeanne;;
0;Gros Cuâ;Gros Cua;;
0;Chemin de Pré-de-Chêne;Pre Chene;;
0;Cheseau d'Avau;Cheseau Avau;;
0;Chemin du Bois-Mounet;Bois Mounet;;
0;Champ-de-Lune;Champ Lune;;
0;Vorderi Gypsera;Vorderi Gypsera;;
0;Chemin de Pra Vert;Pra Vert;;
0;Plan du Chalet d'Avau;Plan Chalet Avau;;
0;Impasse du Bois-Gentil;Bois Gentil;;
0;Route de Villars-les-Joncs;Villars Joncs;;
0;Impasse Haut-du-Pré;Haut Pre;;
0;Undere Baretta;Undere Baretta;;
0;Lenga Acher;Lenga Acher;;
0;Chemin de Champ-Lassey;Champ Lassey;;
0;Champ-sur-Roc;Champ Roc;;
0;Pré à Maco;Pre Maco;;
0;Route du Fort Lambert;Fort Lambert;;
0;Bois des Combes;Bois Combes;;
0;Horners Hürli;Horners Hürli;;
0;Route du Quart-Dessus;Quart Dessus;;
0;Clos du Village;Clos Village;;
0;Route de l'Auta Chia;Auta Chia;;
0;Ruelle du Lion-d'Or;Lion Or;;
0;Schatters Spitz;Schatters Spitz;;
0;Planche au Rey;Planche Rey;;
0;Route de la Belle-Croix;Belle Croix;;
0;Vers Pilloud;Vers Pilloud;;
0;Rue Dom-Hermann;Dom Hermann;;
0;Route Champ-Jordan;Champ Jordan;;
0;La Joux des Rapes;Joux Rapes;;
0;Fin Derrey;Fin Derrey;;
0;Route de Pré-Pury;Pre Pury;;
0;Z.A. du Tintébin;Z  Tintebin;;
0;Chemin des Trois Poses;Trois Poses;;
0;Joux de Pra Filieux;Joux Pra Filieux;;
0;Chemin de Crey-Derrey;Crey Derrey;;
0;Maison-Rouge;Maison Rouge;;
0;Impasse Pra-Michaud;Pra Michaud;;
0;Impasse Clos du Savua;Clos Savua;;
0;Vers le Moulin;Vers Moulin;;
0;Chemin de la Fin des Fourches;Fin Fourches;;
0;Escaliers du Court-Chemin;Escaliers Court Chemin;;
0;Rue du Pays-d'Enhaut;Pays Enhaut;;
0;Moulin-de-Prez;Moulin Prez;;
0;Rue de la Clé-des-Champs;Cle Champs;;
0;Noyer-Amey;Noyer Amey;;
0;Rue Alexandre Cingria;Alexandre Cingria;http://www.wikidata.org/entity/Q633803;Mensch
0;L'Essert-du-Pont;Essert Pont;;
0;Les Trois Sapins;Trois Sapins;;
0;Route Jo-Siffert;Jo Siffert;;
0;Impasse Motte-Châtel;Motte Chatel;;
0;Schöni Buecha;Schöni Buecha;;
0;Coumin Dessous;Coumin Dessous;;
0;Rue du Vieux-Moulin;Vieux Moulin;;
0;Route Jean-Tinguely;Jean Tinguely;http://www.wikidata.org/entity/Q163938;Mensch
0;Chemin du Plan-Châtel;Plan Chatel;;
0;Chemin du Bois-de-Faye;Bois Faye;;
0;Chemin Léon-Savary;Leon Savary;;
0;Route André-Piller;Andre Piller;;
0;Le Gros Champ;Gros Champ;;
0;Champ Babou;Champ Babou;;
0;La Pata à Bise;Pata Bise;;
0;Fin de Plan;Fin Plan;;
0;Falli-Hölli-Strasse;Falli Hölli;;
0;Route de Plancy-l'Abbaye;Plancy Abbaye;;
0;Chemin Clos-Marmy;Clos Marmy;;
0;In Prâ Pèjé;Pra Peje;;
0;Le Pré-Santy;Pre Santy;;
0;Rue Joseph-Piller;Joseph Piller;http://www.wikidata.org/entity/Q3185491;Mensch
0;Chalet d'Amont;Chalet Amont;;
0;Champ du Marais;Champ Marais;;
0;Impasse Champ le Derrey;Champ Derrey;;
0;Chemin de Longe Planche;Longe Planche;;
0;Chemin Charles-Meuwly;Charles Meuwly;http://www.wikidata.org/entity/Q78066478;Mensch
0;Chemin des Grands Prés;Grands Pres;;
0;Chemin de Corba Pièce;Corba Piece;;
0;Chemin des Champs-Perrottet;Champs Perrottet;;
0;Ruelle Alexis-Peiry;Alexis Peiry;http://www.wikidata.org/entity/Q78068059;Mensch
0;Undere March;Undere March;;
0;Grange-Rouge;Grange Rouge;;
0;Chemin de Vau de Cour;Vau Cour;;
0;Les Récards d'Avau;Recards Avau;;
0;Impasse de Champ-Riond;Champ Riond;;
0;Cierne aux Boeufs;Cierne Boeufs;;
0;Chemin du Clos à Golet;Clos Golet;;
0;Impasse du Beau-Crêt;Beau Cret;;
0;Moulin-de-Prassasson;Moulin Prassasson;;
0;Pont de Berne;Pont Berne;;
0;Champ-Raclé;Champ Racle;;
0;Chemin du Pra d'Amont;Pra Amont;;
0;Impasse Pra-Genilloud;Pra Genilloud;;
0;Rue Jean-Marie Musy;Jean Marie Musy;;
0;Route des Grands-Bois;Grands Bois;;
0;Creiso Bourlet;Creiso Bourlet;;
0;Vers l'Eglise;Vers Eglise;;
0;La Vieille Chenevière;Vieille Cheneviere;;
0;Impasse Mon-Chez-Nous;Mon Chez Nous;;
0;Alfons-Aeby-Strasse;Alfons Aeby;;
0;Rue de la Gare-du-Sud;Gare Sud;;
0;Impasse du Clos Perroud;Clos Perroud;;
0;Route de Pra-Riond;Pra Riond;;
